session_id,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,cycle,state_index,branch,state_label,path_mode,phase,d_target_mm,d_preload_mm,record_s,summary_window_s,n,d_median_mm,F_median_N,Bmag_median_uT,Bx_median_uT,By_median_uT,Bz_median_uT,delta_Bx_median_uT,delta_By_median_uT,delta_Bz_median_uT
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,1,loading,loading_d_185,loading_branch,loading_dense,1.8500,2.6000,15.0,5.0,113,1.8400,2.485000,6863.4323,-587.7770,1816.8220,6592.0800,-146.0191,-142.7753,3181.7714
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,2,loading,loading_d_195,loading_branch,loading_dense,1.9500,2.6000,15.0,5.0,114,1.9400,2.846050,7059.1229,-589.5810,1795.1860,6801.1680,-147.8231,-164.4113,3390.8594
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,3,loading,loading_d_205,loading_branch,loading_dense,2.0500,2.6000,15.0,5.0,114,2.0200,3.195300,7264.6434,-591.3830,1775.3530,7019.9360,-149.6251,-184.2443,3609.6274
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,4,loading,loading_d_215,loading_branch,loading_dense,2.1500,2.6000,15.0,5.0,114,2.1400,3.569450,7475.4004,-592.5850,1757.3230,7241.6080,-150.8271,-202.2743,3831.2994
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,5,loading,loading_d_225,loading_branch,loading_dense,2.2500,2.6000,15.0,5.0,114,2.2200,3.980000,7683.3988,-596.1910,1738.0910,7460.3750,-154.4331,-221.5063,4050.0664
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,6,loading,loading_d_235,loading_branch,loading_dense,2.3500,2.6000,15.0,5.0,114,2.3300,4.432500,7892.4650,-601.6000,1721.2630,7678.6600,-159.8421,-238.3343,4268.3514
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,7,preload,preload_d_260,preload_loading,preload_dense,2.6000,2.6000,30.0,5.0,114,2.5800,5.701850,8447.9823,-611.8170,1716.4550,8249.2960,-170.0591,-243.1423,4838.9874
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,8,unloading,unloading_d_235,return_unloading,unloading_dense,2.3500,2.6000,15.0,5.0,114,2.3100,3.302550,7909.4719,-597.9940,1768.1410,7685.9200,-156.2361,-191.4563,4275.6114
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,9,unloading,unloading_d_225,return_unloading,unloading_dense,2.2500,2.6000,15.0,5.0,114,2.2200,2.884400,7759.2777,-593.7880,1784.9690,7527.1680,-152.0301,-174.6283,4116.8594
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,10,unloading,unloading_d_215,return_unloading,unloading_dense,2.1500,2.6000,15.0,5.0,114,2.1400,2.559600,7595.5252,-591.3830,1801.7970,7354.8640,-149.6251,-157.8003,3944.5554
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,11,unloading,unloading_d_205,return_unloading,unloading_dense,2.0500,2.6000,15.0,5.0,114,2.0200,2.122250,7314.4108,-588.6785,1824.6350,7058.6560,-146.9206,-134.9623,3648.3474
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,12,unloading,unloading_d_195,return_unloading,unloading_dense,1.9500,2.6000,15.0,5.0,114,1.9400,1.894700,7163.5554,-588.3780,1840.2610,6897.9680,-146.6201,-119.3363,3487.6594
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,1,13,unloading,unloading_d_185,return_unloading,unloading_dense,1.8500,2.6000,15.0,5.0,114,1.8200,1.591550,6895.4136,-585.3730,1863.7000,6613.3750,-143.6151,-95.8973,3203.0664
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,1,loading,loading_d_185,loading_branch,loading_dense,1.8500,2.6000,15.0,5.0,114,1.8400,2.489550,6867.2993,-585.0725,1812.6150,6597.8870,-145.7226,-137.4260,3137.5692
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,2,loading,loading_d_195,loading_branch,loading_dense,1.9500,2.6000,15.0,5.0,114,1.9400,2.849300,7060.6524,-587.7770,1790.9790,6804.5555,-148.4271,-159.0620,3344.2377
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,3,loading,loading_d_205,loading_branch,loading_dense,2.0500,2.6000,15.0,5.0,114,2.0200,3.202100,7266.0501,-588.9790,1772.3480,7021.8720,-149.6291,-177.6930,3561.5542
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,4,loading,loading_d_215,loading_branch,loading_dense,2.1500,2.6000,15.0,5.0,114,2.1400,3.585450,7475.1163,-590.7820,1753.7170,7242.5760,-151.4321,-196.3240,3782.2582
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,5,loading,loading_d_225,loading_branch,loading_dense,2.2500,2.6000,15.0,5.0,114,2.2200,4.000300,7681.9708,-593.1860,1735.3865,7459.4080,-153.8361,-214.6545,3999.0902
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,6,loading,loading_d_235,loading_branch,loading_dense,2.3500,2.6000,15.0,5.0,114,2.3300,4.462400,7890.4424,-598.5950,1717.6570,7678.1760,-159.2451,-232.3840,4217.8582
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,7,preload,preload_d_260,preload_loading,preload_dense,2.6000,2.6000,30.0,5.0,114,2.5800,5.768900,8442.1131,-610.6150,1717.0560,8243.0040,-171.2651,-232.9850,4782.6862
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,8,unloading,unloading_d_235,return_unloading,unloading_dense,2.3500,2.6000,15.0,5.0,114,2.3100,3.326150,7902.4215,-596.1910,1767.5400,7679.1440,-156.8411,-182.5010,4218.8262
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,9,unloading,unloading_d_225,return_unloading,unloading_dense,2.2500,2.6000,15.0,5.0,114,2.2200,2.907600,7751.2593,-592.5850,1783.7670,7519.9080,-153.2351,-166.2740,4059.5902
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,10,unloading,unloading_d_215,return_unloading,unloading_dense,2.1500,2.6000,15.0,5.0,114,2.1400,2.581400,7590.4135,-589.5810,1799.3930,7350.0230,-150.2311,-150.6480,3889.7052
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,11,unloading,unloading_d_205,return_unloading,unloading_dense,2.0500,2.6000,15.0,5.0,113,2.0200,2.140200,7308.1721,-587.1760,1823.4330,7052.8480,-147.8261,-126.6080,3592.5302
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,12,unloading,unloading_d_195,return_unloading,unloading_dense,1.9500,2.6000,15.0,5.0,113,1.9400,1.906700,7157.4406,-586.5750,1838.4580,6892.1600,-147.2251,-111.5830,3431.8422
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,2,13,unloading,unloading_d_185,return_unloading,unloading_dense,1.8500,2.6000,15.0,5.0,112,1.8200,1.598000,6890.2942,-582.9690,1863.0990,6607.5700,-143.6191,-86.9420,3147.2522
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,1,loading,loading_d_185,loading_branch,loading_dense,1.8500,2.6000,15.0,5.0,114,1.8400,2.494500,6866.1325,-582.9690,1813.8170,6596.4360,-144.5966,-137.3045,3125.9496
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,2,loading,loading_d_195,loading_branch,loading_dense,1.9500,2.6000,15.0,5.0,114,1.9400,2.849850,7058.1006,-584.7720,1792.7820,6802.1350,-146.3996,-158.3395,3331.6486
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,3,loading,loading_d_205,loading_branch,loading_dense,2.0500,2.6000,15.0,5.0,114,2.0200,3.204950,7265.1782,-587.1760,1772.3480,7021.8720,-148.8036,-178.7735,3551.3856
session_20260624_155402,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,3,4,loading,loading_d_215,loading_branch,loading_dense,2.1500,2.6000,15.0,5.0,114,2.1200,3.589550,7474.0568,-587.7770,1754.9190,7241.6080,-149.4046,-196.2025,3771.1216
