time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782334417.100019,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.0000,2.651800,-585.3730,1804.2010,6676.2960,-148.9445,-146.0987,3209.8175,6940.5137,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.187825,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.0576,2.650800,-581.1660,1801.7970,6668.5520,-144.7375,-148.5027,3202.0735,6932.0857,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.276046,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.1456,2.650800,-581.7670,1811.4130,6671.4550,-145.3385,-138.8867,3204.9765,6937.4334,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.364817,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.2344,2.649700,-580.5650,1807.2060,6672.4240,-144.1365,-143.0937,3205.9455,6937.1674,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.453417,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.3226,2.648800,-582.3680,1807.8070,6675.3280,-145.9395,-142.4927,3208.8495,6940.2682,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.541668,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.4113,2.648000,-582.9690,1805.4030,6663.7110,-146.5405,-144.8967,3197.2325,6928.5191,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.630325,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.4995,2.646900,-581.1660,1809.0090,6681.1350,-144.7375,-141.2907,3214.6565,6946.0660,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.719303,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.5882,2.647400,-583.5700,1803.6000,6665.6480,-147.1415,-146.6997,3199.1695,6929.9632,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.807727,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.6768,2.647300,-583.5700,1804.8020,6669.5200,-147.1415,-145.4977,3203.0415,6934.0004,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782334417.896157,session_20260624_164026,2,2,2,local_heldout_dense_loop_6p1_S,loading_d_185,loading_dense,disp_path_hold,loading_branch,185,1.8500,2.6000,1.8400,1.8400,,-0.0100,-3.9300,0.7653,2.645100,-580.5650,1799.9940,6667.5840,-144.1365,-150.3057,3201.1055,6930.6357,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
