time_s,session_id,trial,repeat_id,pair_id,stage,state_label,phase,control_mode,path_mode,target_label,d_target_mm,d_preload_mm,d_actual_mm,d_mm,q_mm,d_error_mm,mark10_pos_mm,t_rel_s,F_N,mean_Bx_uT,mean_By_uT,mean_Bz_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,Bmag_uT,sample_id,magnet_id,head_id,force_calibration_id,displacement_zero_id,note
1782340887.872179,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.0000,3.026200,-590.1810,1795.1860,6910.5520,-150.1235,-164.4486,3527.6979,7164.2680,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340887.960538,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.0565,3.023700,-594.3880,1789.7770,6911.5200,-154.3305,-169.8576,3528.6659,7164.1962,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340888.049221,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.1449,3.021300,-591.9850,1791.5800,6908.6160,-151.9275,-168.0546,3525.7619,7161.6465,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340888.137290,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.2334,3.022500,-588.9790,1793.9840,6909.5840,-148.9215,-165.6506,3526.7299,7162.9342,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340888.226229,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.3217,3.021800,-591.3830,1796.3880,6911.5200,-151.3255,-163.2466,3528.6659,7165.6020,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340888.313684,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.4102,3.020600,-586.5750,1793.9840,6905.7110,-146.5175,-165.6506,3522.8569,7159.0009,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340888.402600,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.4984,3.021600,-590.7820,1799.3930,6916.3590,-150.7245,-160.2416,3533.5049,7170.9735,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340888.491532,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.5871,3.021800,-588.3780,1795.1860,6910.5520,-148.3205,-164.4486,3527.6979,7164.1197,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340888.579702,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.6754,3.019700,-587.7770,1797.5900,6910.5520,-147.7195,-162.0446,3527.6979,7164.6731,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
1782340888.668007,session_20260624_183829,1,1,1,same_d_diff_f_scan,direct_target,holding,disp_path_hold,direct_loading,200,2.0000,2.6000,1.9800,1.9800,,-0.0200,-4.0700,0.7640,3.020000,-590.7820,1792.7820,6910.5520,-150.7245,-166.8526,3527.6979,7163.7155,,,stamp_head_v1,force_calibration_20260602_190856,stageD_session_20260602_201421,
