pc_time_s,t_ms,status,Bx,By,Bz
1779121789.741601,27712,,-45450.0,-133950.0,-554180.0
1779121789.807702,27777,,-45599.0,-133800.0,-553211.0
1779121789.873491,27842,,-45300.0,-134550.0,-553696.0
1779121789.9394088,27908,,-45450.0,-133950.0,-553211.0
1779121790.0097659,27973,,-46500.0,-133649.0,-552970.0
1779121790.0756328,28043,,-45150.0,-133649.0,-553211.0
1779121790.1414368,28109,,-45750.0,-133950.0,-554180.0
1779121790.207499,28174,,-45300.0,-134399.0,-553454.0
1779121790.273133,28241,,-45450.0,-133500.0,-553696.0
1779121790.34393,28311,,-45750.0,-134250.0,-554180.0
1779121790.409856,28375,,-45599.0,-134700.0,-554421.0
1779121790.4756339,28441,,-45300.0,-133649.0,-553211.0
1779121790.541443,28506,,-45000.0,-133500.0,-554180.0
1779121790.6072278,28573,,-45150.0,-133950.0,-554664.0
1779121790.677854,28643,,-45750.0,-134250.0,-553696.0
1779121790.743763,28707,,-45900.0,-133950.0,-554180.0
1779121790.809799,28773,,-45450.0,-134399.0,-553938.0
1779121790.875693,28838,,-45450.0,-134399.0,-554421.0
1779121790.9464011,28904,,-45450.0,-134700.0,-553696.0
1779121791.01206,28974,,-44700.0,-133950.0,-553211.0
1779121791.077877,29039,,-45900.0,-134250.0,-553696.0
1779121791.143717,29105,,-45150.0,-133800.0,-553696.0
1779121791.2094662,29171,,-45300.0,-134550.0,-554180.0
1779121791.280278,29241,,-45150.0,-134700.0,-553454.0
1779121791.346295,29306,,-45900.0,-134550.0,-552728.0
1779121791.412083,29371,,-45300.0,-134550.0,-553211.0
1779121791.477965,29437,,-45300.0,-134399.0,-553696.0
1779121791.543692,29503,,-45000.0,-134399.0,-553454.0
1779121791.614374,29573,,-46200.0,-134550.0,-553696.0
1779121791.680346,29638,,-44849.0,-134250.0,-553211.0
1779121791.746359,29703,,-45900.0,-134250.0,-553454.0
1779121791.8123012,29769,,-45750.0,-133649.0,-553454.0
1779121791.882675,29835,,-44849.0,-134100.0,-553696.0
1779121791.948627,29904,,-45599.0,-133800.0,-553938.0
1779121792.014185,29970,,-45150.0,-134550.0,-553454.0
1779121792.080398,30035,,-46050.0,-134250.0,-553938.0
1779121792.1459782,30101,,-45750.0,-134399.0,-553696.0
1779121792.216654,30171,,-45300.0,-134399.0,-552728.0
1779121792.2825432,30236,,-45599.0,-135450.0,-553938.0
1779121792.3483908,30302,,-46500.0,-134399.0,-553211.0
1779121792.414443,30367,,-44550.0,-134250.0,-552970.0
1779121792.480157,30432,,-45750.0,-133800.0,-552728.0
1779121792.550771,30503,,-45300.0,-134100.0,-552485.0
1779121792.616585,30568,,-45900.0,-134399.0,-553211.0
1779121792.68255,30634,,-45000.0,-134550.0,-553211.0
1779121792.748445,30699,,-45300.0,-134100.0,-553454.0
1779121792.8188312,30764,,-45750.0,-134100.0,-553211.0
1779121792.88463,30834,,-45900.0,-133800.0,-552970.0
1779121792.950421,30901,,-45599.0,-134550.0,-553454.0
1779121793.016363,30966,,-46500.0,-132600.0,-551034.0
1779121793.082242,31032,,-49349.0,-131100.0,-551276.0
1779121793.152778,31102,,-55500.0,-124650.0,-543774.0
1779121793.218595,31166,,-61650.0,-68850.0,-551760.0
1779121793.284517,31233,,-64050.0,-65400.0,-552001.0
1779121793.350401,31298,,-63300.0,-63450.0,-553696.0
1779121793.416194,31363,,-60000.0,-55650.0,-561923.0
1779121793.4868,31434,,-56550.0,-52950.0,-566280.0
1779121793.552715,31498,,-54900.0,-53849.0,-568215.0
1779121793.6187289,31565,,-50550.0,-54599.0,-573056.0
1779121793.684601,31630,,-48150.0,-54900.0,-574508.0
1779121793.754973,31696,,-47400.0,-57450.0,-572814.0
1779121793.82078,31766,,-43349.0,-75150.0,-574750.0
1779121793.8865721,31830,,-38550.0,-50849.0,-581526.0
1779121793.952495,31897,,-36000.0,-50849.0,-581526.0
1779121794.018414,31962,,-34800.0,-53099.0,-584671.0
1779121794.08909,32032,,-30450.0,-59550.0,-585881.0
1779121794.154986,32098,,-27750.0,-65850.0,-586124.0
1779121794.221023,32163,,-23850.0,-69449.0,-587092.0
1779121794.286849,32229,,-19650.0,-71699.0,-588543.0
1779121794.3526158,32294,,-19200.0,-71400.0,-588302.0
1779121794.423418,32365,,-16650.0,-72750.0,-588786.0
1779121794.489082,32429,,-15149.0,-79350.0,-589027.0
1779121794.555066,32494,,-11700.0,-77550.0,-590238.0
1779121794.620965,32561,,-10800.0,-77250.0,-590963.0
1779121794.691297,32625,,-7949.0,-76199.0,-589270.0
1779121794.757225,32696,,-8550.0,-74550.0,-589996.0
1779121794.822818,32762,,-8100.0,-74699.0,-588786.0
1779121794.888673,32827,,-7500.0,-73800.0,-590722.0
1779121794.9544,32893,,-8700.0,-73949.0,-590238.0
1779121795.0253801,32962,,-8100.0,-74699.0,-589753.0
1779121795.091072,33028,,-8550.0,-75150.0,-589996.0
1779121795.1569228,33093,,-8550.0,-74850.0,-591206.0
1779121795.222656,33158,,-7949.0,-75000.0,-591448.0
1779121795.288544,33225,,-8399.0,-74699.0,-592416.0
1779121795.3591838,33295,,-7949.0,-74850.0,-590963.0
1779121795.425066,33361,,-9300.0,-74850.0,-592173.0
1779121795.491022,33426,,-8399.0,-75000.0,-592658.0
1779121795.5569348,33491,,-8399.0,-76350.0,-593384.0
1779121795.62729,33556,,-5550.0,-78600.0,-596772.0
1779121795.693082,33626,,-1650.0,-81449.0,-596530.0
1779121795.758857,33691,,3000.0,-83400.0,-598950.0
1779121795.82481,33757,,5400.0,-85350.0,-599433.0
1779121795.890579,33824,,6449.0,-87900.0,-600402.0
1779121795.961409,33893,,5850.0,-88800.0,-597014.0
1779121796.027074,33957,,4650.0,-87150.0,-597255.0
1779121796.0929039,34024,,3300.0,-87300.0,-597014.0
1779121796.158755,34090,,3000.0,-87150.0,-596530.0
1779121796.22438,34155,,2849.0,-86250.0,-596530.0
1779121796.2950668,34225,,2550.0,-87449.0,-597014.0
1779121796.3610182,34289,,2849.0,-87900.0,-597255.0
1779121796.426822,34355,,2550.0,-87449.0,-595562.0
1779121796.492522,34420,,1350.0,-85199.0,-597014.0
1779121796.562783,34487,,1350.0,-84900.0,-596772.0
1779121796.628681,34556,,2250.0,-85050.0,-597982.0
1779121796.694464,34621,,1799.0,-85650.0,-595562.0
1779121796.7603772,34688,,2250.0,-87150.0,-596530.0
1779121796.8261278,34753,,899.0,-89850.0,-595804.0
1779121796.896791,34824,,1049.0,-91199.0,-596045.0
1779121796.962636,34888,,600.0,-91650.0,-596530.0
1779121797.0285141,34954,,449.0,-92699.0,-595804.0
1779121797.094368,35019,,600.0,-92400.0,-596045.0
1779121797.160173,35085,,-750.0,-92400.0,-596288.0
1779121797.230658,35156,,-300.0,-90449.0,-596045.0
1779121797.2966552,35220,,150.0,-90449.0,-596045.0
1779121797.36242,35285,,-300.0,-91050.0,-596288.0
1779121797.428172,35352,,-449.0,-91050.0,-596530.0
1779121797.498444,35416,,0.0,-90900.0,-596288.0
1779121797.5642729,35487,,-600.0,-91199.0,-597498.0
1779121797.6301281,35552,,-300.0,-91050.0,-596288.0
1779121797.695916,35617,,0.0,-92550.0,-595078.0
1779121797.761796,35683,,-300.0,-92550.0,-595804.0
1779121797.8323798,35753,,-150.0,-91199.0,-596530.0
1779121797.898297,35819,,0.0,-91650.0,-597014.0
1779121797.964097,35884,,0.0,-92400.0,-596530.0
1779121798.0299032,35949,,-600.0,-93449.0,-597255.0
1779121798.095716,36014,,-899.0,-93900.0,-596045.0
1779121798.166312,36085,,-1200.0,-94050.0,-596045.0
1779121798.232405,36151,,-1350.0,-94199.0,-595319.0
1779121798.298105,36216,,-1200.0,-91650.0,-595319.0
1779121798.364115,36282,,-3900.0,-82350.0,-597255.0
1779121798.434505,36347,,-6000.0,-72750.0,-596288.0
1779121798.500434,36416,,-9899.0,-69000.0,-594352.0
1779121798.566005,36483,,-10350.0,-68699.0,-594835.0
1779121798.6318731,36548,,-10200.0,-67500.0,-594352.0
1779121798.697624,36613,,-9899.0,-68550.0,-594110.0
1779121798.768277,36683,,-10350.0,-67800.0,-594110.0
1779121798.834086,36749,,-10050.0,-67949.0,-595562.0
1779121798.900003,36815,,-10200.0,-71100.0,-595078.0
1779121798.965924,36880,,-10050.0,-70350.0,-595804.0
1779121799.0316842,36946,,-10350.0,-69449.0,-595078.0
1779121799.1023948,37014,,-12300.0,-68250.0,-594594.0
1779121799.1684082,37080,,-12899.0,-68100.0,-593141.0
1779121799.234378,37147,,-12899.0,-67500.0,-593626.0
1779121799.30018,37212,,-13350.0,-67050.0,-593868.0
1779121799.3705149,37277,,-13350.0,-66750.0,-594110.0
1779121799.4363039,37347,,-12899.0,-67350.0,-595319.0
1779121799.502028,37412,,-12899.0,-67500.0,-593868.0
1779121799.567965,37478,,-12149.0,-66750.0,-593384.0
1779121799.633771,37543,,-12750.0,-66300.0,-593384.0
1779121799.704395,37613,,-12899.0,-67199.0,-593868.0
1779121799.77031,37678,,-13350.0,-66600.0,-593626.0
1779121799.836053,37743,,-12300.0,-66449.0,-594594.0
1779121799.901932,37809,,-13649.0,-66750.0,-592900.0
1779121799.967699,37875,,-13200.0,-66449.0,-593384.0
1779121800.038344,37946,,-13500.0,-67650.0,-593384.0
1779121800.104374,38011,,-12899.0,-66750.0,-594352.0
1779121800.1704059,38076,,-13200.0,-67500.0,-594110.0
1779121800.236164,38142,,-12750.0,-66900.0,-594352.0
1779121800.3064802,38207,,-13050.0,-66900.0,-593626.0
1779121800.3724558,38277,,-13350.0,-65850.0,-593868.0
1779121800.438164,38342,,-13800.0,-65400.0,-592416.0
1779121800.504094,38407,,-14700.0,-65400.0,-593626.0
1779121800.569844,38474,,-14550.0,-66000.0,-593141.0
1779121800.640509,38544,,-14250.0,-65550.0,-593384.0
1779121800.706464,38610,,-14399.0,-65550.0,-593868.0
1779121800.77216,38675,,-15149.0,-65250.0,-592658.0
1779121800.8379672,38741,,-14850.0,-64500.0,-594110.0
1779121800.9037309,38806,,-15300.0,-65100.0,-591690.0
1779121800.974412,38875,,-14850.0,-64650.0,-592658.0
1779121801.040422,38941,,-16350.0,-64800.0,-591448.0
1779121801.106417,39006,,-15149.0,-64949.0,-593868.0
1779121801.1722,39073,,-16799.0,-64650.0,-592658.0
1779121801.242592,39138,,-15899.0,-64050.0,-592900.0
1779121801.3084002,39207,,-16799.0,-63900.0,-592900.0
1779121801.374132,39272,,-15899.0,-64650.0,-592416.0
1779121801.440004,39339,,-16650.0,-63450.0,-591931.0
1779121801.505772,39405,,-15899.0,-64050.0,-592173.0
