rank,same_d_target_d_mm,same_d_state_F_mid_N,same_F_target_F_N,same_F_state_d_mid_mm,d_distance_mm,F_distance_N,jF_x_uT_per_N,jF_y_uT_per_N,jF_z_uT_per_N,jF_norm_uT_per_N,jd_x_uT_per_mm,jd_y_uT_per_mm,jd_z_uT_per_mm,jd_norm_uT_per_mm,angle_deg,abs_cosine,condition_scaled,condition_raw,same_d_noise_ratio,same_F_noise_ratio,min_noise_ratio,directional_consistency_mean,locality_distance,locality_score,identifiability_score,verdict
1,3.2,5.189025,4.9,2.915,0.28000000000000025,0.28902499999999964,4.323741007194244,202.60328879753342,32.33247687564234,205.21251528303037,54.63181818181818,1868.5545454545454,2305.609090909091,2968.217310942603,41.901974406133995,0.7442885323542925,2.6117647758067246,21.714931834875784,20.05794,32.64685,20.05794,0.9996488743777228,0.8327440713688696,0.7069952411181099,0.6599974802403711,usable_but_weaker
2,3.0,4.1522250000000005,4.3,2.795,0.19500000000000028,0.14777499999999932,2.2145796229196093,180.12037093901617,66.58232512436282,192.04545922536514,49.17272727272727,1884.9590909090907,2477.195454545454,3113.195472746439,32.4423168421926,0.8439319506096895,3.4372842145031726,30.30048927133896,15.53619,34.27409,15.53619,0.9997833948800265,0.5695473041506798,0.8502778795272395,0.47608080983216106,exploratory
3,3.0,4.1522250000000005,3.75,2.79,0.20000000000000018,0.4022250000000005,2.2145796229196093,180.12037093901617,66.58232512436282,192.04545922536514,85.85714285714285,1695.6928571428568,2305.9107142857138,2863.558963423409,33.39222862381273,0.8349225206455106,3.333995052892727,27.177574500289357,15.53619,40.08983,15.53619,0.9997806572590948,0.6557994972893002,0.806512009757072,0.4647966493189009,exploratory
4,3.0,4.1522250000000005,4.9,2.915,0.07500000000000018,0.7477749999999999,2.2145796229196093,180.12037093901617,66.58232512436282,192.04545922536514,54.63181818181818,1868.5545454545454,2305.609090909091,2968.217310942603,30.689236353757824,0.8599481675604759,3.644232047868648,30.376705214318747,15.53619,32.64685,15.53619,0.9996830680168725,0.6354412134469551,0.8171825514668817,0.4327823269366176,exploratory
5,3.2,5.189025,4.3,2.795,0.40000000000000036,0.8890250000000002,4.323741007194244,202.60328879753342,32.33247687564234,205.21251528303037,49.17272727272727,1884.9590909090907,2477.195454545454,3113.195472746439,43.65769538947907,0.7234770650986845,2.496532220112542,22.025351135687405,20.05794,34.27409,20.05794,0.9997492012408769,1.3460892754121454,0.4041463683698781,0.39312835689491016,usable_but_weaker
6,2.8,3.33985,3.75,2.79,0.0,0.4101499999999998,0.8606616067592725,139.42718029500213,49.90405269941286,148.09150488546652,85.85714285714285,1695.6928571428568,2305.9107142857138,2863.558963423409,33.99880997344759,0.8290491867465776,3.2709741106000623,34.64383710620734,10.34123,40.08983,10.34123,0.9996727543533575,0.32811999999999986,0.9475918881025583,0.37006038313883993,exploratory
7,2.8,3.33985,4.3,2.795,0.004999999999999893,0.9601499999999996,0.8606616067592725,139.42718029500213,49.90405269941286,148.09150488546652,49.17272727272727,1884.9590909090907,2477.195454545454,3113.195472746439,33.04102491803978,0.8382803806073102,3.3715105329174704,38.617086214587665,10.34123,34.27409,10.34123,0.9996754919742892,0.7682528334035955,0.744452516441975,0.2825395478458907,exploratory
8,3.2,5.189025,3.75,2.79,0.40500000000000025,1.439025,4.323741007194244,202.60328879753342,32.33247687564234,205.21251528303037,85.85714285714285,1695.6928571428568,2305.9107142857138,2863.558963423409,44.590790115185776,0.7121389028491691,2.438810238003493,19.928463101821304,20.05794,40.08983,20.05794,0.9997464636199451,1.632264402674008,0.2639109508512532,0.2622021655352413,usable_but_weaker
9,3.4,6.463775,4.9,2.915,0.47499999999999964,1.5637749999999997,4.063041365614569,191.9753242912072,8.181011535048802,192.19251388019634,54.63181818181818,1868.5545454545454,2305.609090909091,2968.217310942603,48.527316497168066,0.662262898683302,2.218505296978027,20.649984197481334,22.77521,32.64685,22.77521,0.9997864207745304,1.845775656761643,0.18205546464295969,0.22352037114234213,candidate
10,2.6,2.562525,3.75,2.79,0.20000000000000018,1.187475,1.1644832605531295,194.7947598253275,72.33090732654053,207.7934422241273,85.85714285714285,1695.6928571428568,2305.9107142857138,2863.558963423409,33.322574726895795,0.8355909796903881,3.3413743674705016,25.177917651472406,11.01997,40.08983,11.01997,0.9986793406693751,1.108599392316674,0.540913281303902,0.2204094263380062,exploratory
