experiment,path_family,source_kind,source_pair_csv,session_id,trial,pair_id,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,d_direct_mm,d_return_mm,delta_d_mm,abs_delta_d_mm,F_direct_N,F_return_N,delta_F_N,abs_delta_F_N,delta_Bmag_uT,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,verdict,same_d_ok,same_F_ok,force_split_ok,disp_split_ok,b_signal_ok,raw_file_found,raw_file,raw_file_warning
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,1,1,240,,2.4,2.7,,,,2.38,2.4,0.02,0.02,1.9863,1.5683,-0.418,0.418,61.8422,-1.202,61.302,13.552,62.7936,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep1.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,2,2,240,,2.4,2.7,,,,2.39,2.39,0.0,0.0,2.1839,1.7515,-0.4324,0.4324,63.9879,0.0,63.104,13.552,64.5428,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep2.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,3,3,240,,2.4,2.7,,,,2.38,2.4,0.02,0.02,2.24575,1.8062,-0.43955,0.43955,53.9384,-3.006,55.593,7.744,56.2102,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep3.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,1,1,260,,2.6,2.9,,,,2.58,2.6,0.02,0.02,2.7293,2.2153,-0.514,0.514,109.8074,0.6,108.181,28.072,111.7655,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep1.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,2,2,260,,2.6,2.9,,,,2.59,2.61,0.02,0.02,2.82015,2.3049,-0.51525,0.51525,104.7905,-0.601,98.563,37.2685,105.3754,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep2.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,3,3,260,,2.6,2.9,,,,2.58,2.6,0.02,0.02,2.87965,2.3592,-0.52045,0.52045,109.6639,0.602,100.368,45.496,110.1997,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep3.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,1,1,280,,2.8,3.1,,,,2.78,2.8,0.02,0.02,3.63045,2.9248,-0.70565,0.70565,97.5621,0.602,94.959,28.555,99.1613,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep1.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,2,2,280,,2.8,3.1,,,,2.79,2.79,0.0,0.0,3.6825,2.9972,-0.6853,0.6853,104.384,0.601,97.962,38.2365,105.1615,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep2.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_091145,3,3,280,,2.8,3.1,,,,2.78,2.8,0.02,0.02,3.7467,3.0484,-0.6983,0.6983,102.2395,0.601,97.362,34.848,103.4123,strong,1,1,1,1,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep3.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,1,1,300,,3.0,3.3,,,,2.98,3.0,0.02,0.02,4.5593,3.74515,-0.81415,0.81415,170.3313,1.803,160.466,65.825,173.4518,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep1.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,2,2,300,,3.0,3.3,,,,2.99,2.99,0.0,0.0,4.4191,3.6252,-0.7939,0.7939,147.8708,3.3055,139.432,54.208,149.6353,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep2.csv,
3.1 same-d/different-F work-zone scan,same_d_different_F,report_replicates,reports\experiment_3_1_complete_figure_data_replicates.csv,session_20260610_104017,3,3,300,,3.0,3.3,,,,2.98,3.0,0.02,0.02,4.746,3.9289,-0.8171,0.8171,151.9687,-0.601,146.645,51.305,155.3619,strong,1,1,1,1,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep3.csv,
