model,feature,spearman_abs_F_error,spearman_abs_d_error,n
apmd_local_identifiability_dot_dual_ridge,local_geometry_confidence,0.04276155924451128,-0.2114876894470702,312
apmd_local_identifiability_dot_dual_ridge,local_geometry_uncertainty,-0.04276155924451128,0.2114876894470702,312
apmd_local_identifiability_dot_dual_ridge,local_dual_residual_fraction,-0.10718087271100842,0.18897807040765444,312
apmd_local_identifiability_dot_ridge,local_geometry_confidence,0.012402219273797097,-0.1895940524347292,312
apmd_local_identifiability_dot_ridge,local_geometry_uncertainty,-0.012402219273797097,0.1895940524347292,312
apmd_local_identifiability_dot_ridge,local_dual_residual_fraction,-0.08054666330556738,0.1693326295043933,312
apmd_local_identifiability_dual_ridge,local_geometry_confidence,0.05628115964246965,-0.21506820845242716,312
apmd_local_identifiability_dual_ridge,local_geometry_uncertainty,-0.05628115964246965,0.21506820845242716,312
apmd_local_identifiability_dual_ridge,local_dual_residual_fraction,-0.07876944255009447,0.1863051272305148,312
apmd_path_memory_ridge,local_geometry_confidence,0.014446536790208138,-0.20002505019917677,312
apmd_path_memory_ridge,local_geometry_uncertainty,-0.014446536790208138,0.20002505019917677,312
apmd_path_memory_ridge,local_dual_residual_fraction,0.029379063248987126,0.3516565925881439,312
lim_style_branch_ridge,local_geometry_confidence,0.0002817159623504199,-0.20369407464011083,312
lim_style_branch_ridge,local_geometry_uncertainty,-0.0002817159623504199,0.20369407464011083,312
lim_style_branch_ridge,local_dual_residual_fraction,0.1755256393134823,0.3571482758429945,312
plain_magnetic_ridge,local_geometry_confidence,-0.10472208107888126,-0.2640682155644711,312
plain_magnetic_ridge,local_geometry_uncertainty,0.10472208107888126,0.2640682155644711,312
plain_magnetic_ridge,local_dual_residual_fraction,0.24048033164251076,0.38324947706721435,312
