model,feature,spearman_abs_F_error,spearman_abs_d_error,n
apmd_local_identifiability_dot_dual_mlp,local_geometry_confidence,0.27364576805728197,-0.1382691971845789,312
apmd_local_identifiability_dot_dual_mlp,local_geometry_uncertainty,-0.27364576805728197,0.1382691971845789,312
apmd_local_identifiability_dot_dual_mlp,local_dual_residual_fraction,-0.15683874388660557,0.24399921293380505,312
apmd_local_identifiability_dot_mlp,local_geometry_confidence,0.23928669360287455,-0.2925017720842793,312
apmd_local_identifiability_dot_mlp,local_geometry_uncertainty,-0.23928669360287455,0.2925017720842793,312
apmd_local_identifiability_dot_mlp,local_dual_residual_fraction,-0.23538534239355047,0.3582731641246378,312
apmd_local_identifiability_dual_mlp,local_geometry_confidence,0.40302214453411767,-0.190436039413367,312
apmd_local_identifiability_dual_mlp,local_geometry_uncertainty,-0.40302214453411767,0.190436039413367,312
apmd_local_identifiability_dual_mlp,local_dual_residual_fraction,-0.38199380619996376,0.2537901267445251,312
apmd_path_memory_mlp,local_geometry_confidence,0.15110801693298637,0.2797170828924525,312
apmd_path_memory_mlp,local_geometry_uncertainty,-0.15110801693298637,-0.2797170828924525,312
apmd_path_memory_mlp,local_dual_residual_fraction,0.04756890582784586,-0.15214677046036262,312
lim_style_branch_mlp,local_geometry_confidence,-0.22946417070801978,-0.20679729647503395,312
lim_style_branch_mlp,local_geometry_uncertainty,0.22946417070801978,0.20679729647503395,312
lim_style_branch_mlp,local_dual_residual_fraction,0.32659888625392053,0.30455984745455994,312
plain_magnetic_mlp,local_geometry_confidence,0.11765572807969282,-0.16683353628999437,312
plain_magnetic_mlp,local_geometry_uncertainty,-0.11765572807969282,0.16683353628999437,312
plain_magnetic_mlp,local_dual_residual_fraction,-0.05238375956866244,0.161626334792356,312
