model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,1,3.05,-2.1603000000000003,-1.5787192861896884,0.581580713810312,-0.020000000000000018,0.10800324027587305,0.12800324027587306
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,1,3.15,-2.2179,-1.5071539670666816,0.7107460329333186,0.0,0.17116668889407016,0.17116668889407016
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,1,3.25,-2.4623,-2.27372330861642,0.18857669138358002,-0.020000000000000018,0.10527359242352397,0.12527359242352398
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,1,3.35,-2.3344999999999994,-2.2514839734573773,0.08301602654262208,0.0,0.04980832390362577,0.04980832390362577
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,1,3.45,-2.5323,-2.5713515478669198,0.039051547866919556,-0.020000000000000018,0.03448096161032854,0.05448096161032856
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,1,3.55,-2.0322999999999993,-2.0042021151024887,0.02809788489751064,0.0,0.09275980088095359,0.09275980088095359
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,2,3.05,-2.3884,-2.122106918402811,0.2662930815971887,-0.020000000000000018,0.12997261721419262,0.14997261721419264
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,2,3.15,-2.8383000000000003,-2.4762250746330414,0.36207492536695884,-0.040000000000000036,0.05912170209594292,0.09912170209594295
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,2,3.25,-2.798,-2.790733871475495,0.007266128524505255,-0.010000000000000231,0.02023432625631738,0.030234326256317612
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,2,3.35,-2.6327,-2.6454920772983357,0.012792077298335869,0.0,0.040146883289231994,0.040146883289231994
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,2,3.45,-2.8407999999999998,-2.833407479729381,0.007392520270618874,-0.020000000000000018,0.013098350530857505,0.03309835053085752
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,2,3.55,-2.261700000000001,-2.1127047810676647,0.14899521893233647,0.0,0.04482732241107534,0.04482732241107534
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,3,3.05,-2.4448,-2.2347646658677,0.21003533413230002,-0.029999999999999805,0.09281894384025424,0.12281894384025405
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,3,3.15,-2.553699999999999,-2.4248758784353246,0.1288241215646746,0.0,0.051843571903662955,0.051843571903662955
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,3,3.25,-2.8796999999999997,-2.8694624285004355,0.010237571499564169,-0.020000000000000018,0.004745882301768312,0.02474588230176833
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,3,3.35,-2.6889000000000003,-2.693788391184915,0.004888391184914909,0.0,0.03638114256509395,0.03638114256509395
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,3,3.45,-2.9232499999999995,-2.9119961210566316,0.011253878943367823,-0.020000000000000018,0.0083596816003082,0.028359681600308217
apmd_local_identifiability_dot_dual_mlp,session_20260615_160438,3,3.55,-3.0694,-3.091266629690505,0.021866629690505235,-0.04999999999999982,-0.022407155999829786,0.027592844000170036
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,1,3.05,-2.5864000000000003,-2.496164600151154,0.09023539984884632,-0.020000000000000018,0.015518202845770102,0.03551820284577012
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,1,3.15,-2.6544999999999996,-2.5450688676325477,0.10943113236745194,0.020000000000000018,0.04347895211226582,0.023478952112265805
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,1,3.25,-2.4861000000000004,-2.260048753866502,0.22605124613349847,0.040000000000000036,0.09322072561293826,0.053220725612938224
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,1,3.35,-2.763,-2.4625212387385673,0.3004787612614326,0.020000000000000018,0.02689121736521516,0.006891217365215141
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,1,3.45,-3.0108999999999995,-2.848137939432071,0.1627620605679283,-0.020000000000000018,0.03833239605934935,0.05833239605934937
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,1,3.55,-2.3241999999999994,-2.3130247686025154,0.011175231397483998,0.020000000000000018,0.0022322302370714198,0.017767769762928598
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,2,3.05,-2.5469999999999997,-2.585618775813508,0.038618775813508144,-0.020000000000000018,0.00847600858407116,0.028476008584071177
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,2,3.15,-2.631500000000001,-2.506482776221036,0.12501722377896485,0.0,0.04965899055061662,0.04965899055061662
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,2,3.25,-2.931000000000001,-2.700986098519712,0.2300139014802891,-0.020000000000000018,0.056512250086039995,0.07651225008604001
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,2,3.35,-2.7254000000000005,-2.465926709990189,0.25947329000981156,0.0,0.03821833419856979,0.03821833419856979
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,2,3.45,-2.9907999999999983,-2.8513892658808384,0.13941073411915994,0.0,0.03786548742251927,0.03786548742251927
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,2,3.55,-3.1265,-3.1126924805823766,0.013807519417623482,-0.040000000000000036,-0.006886685997908426,0.03311331400209161
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,3,3.05,-2.6947,-2.733814931029924,0.039114931029923916,-0.020000000000000018,0.03250056938953172,0.05250056938953174
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,3,3.15,-2.7441000000000004,-2.6265927036762147,0.11750729632378576,0.020000000000000018,0.05131326062526931,0.03131326062526929
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,3,3.25,-2.5755999999999997,-2.2579358152760722,0.31766418472392743,0.040000000000000036,0.10551666822686778,0.06551666822686775
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,3,3.35,-2.8724000000000007,-2.6928325676304734,0.17956743236952732,0.020000000000000018,0.04365191374971422,0.023651913749714204
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,3,3.45,-3.1067,-3.068504808980011,0.03819519101998914,0.0,0.013453057546247926,0.013453057546247926
apmd_local_identifiability_dot_dual_mlp,session_20260618_161152,3,3.55,-2.3354,-2.3867361397071534,0.05133613970715345,0.020000000000000018,0.009795379209451394,0.010204620790548624
apmd_local_identifiability_dot_dual_mlp,session_20260622_173504,1,2.45,-1.5113999999999996,-1.7425192592723766,0.23111925927237698,-0.020000000000000018,0.0449614803339351,0.06496148033393512
apmd_local_identifiability_dot_dual_mlp,session_20260622_173504,1,2.55,-1.5455000000000005,-1.5480707905778655,0.002570790577864912,0.0,0.030596677726597576,0.030596677726597576
apmd_local_identifiability_dot_dual_mlp,session_20260622_173504,1,2.65,-1.46725,-1.1912156894351646,0.2760343105648353,0.040000000000000036,0.07769676845486906,0.03769676845486902
apmd_local_identifiability_dot_dual_mlp,session_20260622_173504,1,2.75,-1.64255,-1.6381369158843322,0.004413084115667765,0.020000000000000018,0.003116294044994916,0.0168837059550051
apmd_local_identifiability_dot_dual_mlp,session_20260622_173504,1,2.85,-1.8017500000000002,-1.7066383293495582,0.09511167065044202,-0.020000000000000018,0.03555659420608093,0.055556594206080945
apmd_local_identifiability_dot_dual_mlp,session_20260622_173504,1,2.95,-1.387500000000001,-1.189500148879441,0.19799985112056007,0.020000000000000018,0.05145032709364106,0.03145032709364104
apmd_local_identifiability_dot_dual_mlp,session_20260622_173504,2,2.45,-1.5803000000000003,-1.6664833695739985,0.08618336957399819,-0.009999999999999787,0.06084394292318729,0.07084394292318708
apmd_local_identifiability_dot_dual_mlp,session_20260622_173504,2,2.55,-1.6426999999999996,-1.7013919392313719,0.05869193923137228,0.0,0.03395279514961169,0.03395279514961169
