model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,1,3.05,-2.1603000000000003,-1.7638540621828493,0.396445937817151,-0.020000000000000018,0.042907241224972914,0.06290724122497293
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,1,3.15,-2.2179,-2.1209405568553485,0.09695944314465166,0.0,0.04727418093864744,0.04727418093864744
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,1,3.25,-2.4623,-2.383140680224167,0.07915931977583313,-0.020000000000000018,0.023088671812983907,0.043088671812983925
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,1,3.35,-2.3344999999999994,-2.207983503963229,0.1265164960367704,0.0,0.03616742185138477,0.03616742185138477
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,1,3.45,-2.5323,-2.4046457387486013,0.1276542612513989,-0.020000000000000018,0.009200180538523117,0.029200180538523135
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,1,3.55,-2.0322999999999993,-1.9045018000616984,0.12779819993830088,0.0,0.023689276306225082,0.023689276306225082
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,2,3.05,-2.3884,-2.461461118118325,0.07306111811832494,-0.020000000000000018,0.005078968381676319,0.025078968381676336
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,2,3.15,-2.8383000000000003,-2.843238347040037,0.004938347040036817,-0.040000000000000036,-0.02124616450311212,0.018753835496887916
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,2,3.25,-2.798,-2.7344532938126127,0.06354670618738734,-0.010000000000000231,0.005917166135801288,0.01591716613580152
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,2,3.35,-2.6327,-2.5089447131103952,0.12375528688960458,0.0,0.024820078685548363,0.024820078685548363
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,2,3.45,-2.8407999999999998,-2.692740693451574,0.1480593065484257,-0.020000000000000018,0.0038566307305063496,0.023856630730506367
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,2,3.55,-2.261700000000001,-2.1166016681490927,0.14509833185090848,0.0,0.019669332046055032,0.019669332046055032
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,3,3.05,-2.4448,-2.5259976212146924,0.08119762121469254,-0.029999999999999805,0.0011507045480545486,0.031150704548054353
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,3,3.15,-2.553699999999999,-2.5149041689255673,0.03879583107443185,0.0,0.028335489523591217,0.028335489523591217
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,3,3.25,-2.8796999999999997,-2.8165847465674174,0.06311525343258229,-0.020000000000000018,0.0028068994673855485,0.022806899467385566
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,3,3.35,-2.6889000000000003,-2.560372392457536,0.1285276075424644,0.0,0.023490757513141336,0.023490757513141336
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,3,3.45,-2.9232499999999995,-2.7688870406960078,0.1543629593039917,-0.020000000000000018,0.002703606257191904,0.02270360625719192
apmd_local_identifiability_dot_dual_ridge,session_20260615_160438,3,3.55,-3.0694,-2.9042685075861083,0.16513149241389158,-0.04999999999999982,-0.04618305260892841,0.0038169473910714125
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,1,3.05,-2.5864000000000003,-2.6637525052175928,0.07735250521759252,-0.020000000000000018,-0.005462275278933504,0.014537724721066514
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,1,3.15,-2.6544999999999996,-2.6118371300036713,0.04266286999632829,0.020000000000000018,0.02140159306763012,0.0014015930676301025
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,1,3.25,-2.4861000000000004,-2.3741602066431025,0.11193979335689797,0.040000000000000036,0.035059625040386067,0.004940374959613969
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,1,3.35,-2.763,-2.614216171615837,0.14878382838416293,0.020000000000000018,0.025338894213817742,0.005338894213817724
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,1,3.45,-3.0108999999999995,-2.8365185823568186,0.17438141764318082,-0.020000000000000018,0.00306644024608671,0.023066440246086728
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,1,3.55,-2.3241999999999994,-2.1602898031443587,0.16391019685564068,0.020000000000000018,0.023216782182499784,0.0032167821824997667
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,2,3.05,-2.5469999999999997,-2.6364497149569335,0.08944971495693377,-0.020000000000000018,-0.006348364223591307,0.01365163577640871
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,2,3.15,-2.631500000000001,-2.598043025253679,0.03345697474632203,0.0,0.017698481611558403,0.017698481611558403
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,2,3.25,-2.931000000000001,-2.8602922092874046,0.07070779071259636,-0.020000000000000018,-0.0015205173616195111,0.018479482638380507
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,2,3.35,-2.7254000000000005,-2.5816800976823746,0.14371990231762588,0.0,0.020461550770004333,0.020461550770004333
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,2,3.45,-2.9907999999999983,-2.8230577232298497,0.16774227677014864,0.0,-5.108118471630618e-05,5.108118471630618e-05
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,2,3.55,-3.1265,-2.9606106010297957,0.16588939897020438,-0.040000000000000036,-0.030072771265020393,0.009927228734979643
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,3,3.05,-2.6947,-2.767358518860936,0.0726585188609361,-0.020000000000000018,-0.011042294949073828,0.00895770505092619
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,3,3.15,-2.7441000000000004,-2.6959924485408937,0.04810755145910672,0.020000000000000018,0.018280991318295303,0.0017190086817047145
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,3,3.25,-2.5755999999999997,-2.4551293756847397,0.12047062431526001,0.040000000000000036,0.03224444572754015,0.007755554272459886
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,3,3.35,-2.8724000000000007,-2.711627903154456,0.1607720968455446,0.020000000000000018,0.02213526319061243,0.002135263190612413
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,3,3.45,-3.1067,-2.925455946862529,0.18124405313747083,0.0,-0.0016511900956257541,0.0016511900956257541
apmd_local_identifiability_dot_dual_ridge,session_20260618_161152,3,3.55,-2.3354,-2.1732027077176514,0.16219729228234847,0.020000000000000018,0.02255003713806758,0.0025500371380675624
apmd_local_identifiability_dot_dual_ridge,session_20260622_173504,1,2.45,-1.5113999999999996,-1.8184006608330492,0.30700066083304955,-0.020000000000000018,-0.04108472107857608,0.021084721078576063
apmd_local_identifiability_dot_dual_ridge,session_20260622_173504,1,2.55,-1.5455000000000005,-1.4997261539587425,0.045773846041258004,0.0,6.687570002705812e-05,6.687570002705812e-05
