d_target_mm,cycle,d_mismatch_mm,delta_F_N,abs_delta_F_N,delta_Bx_uT,delta_By_uT,delta_Bz_uT,delta_Bvec_uT,loading_F_N,unloading_F_N,loading_Bmag_uT,unloading_Bmag_uT
3.05,1,-0.020000000000000018,-2.1603000000000003,2.1603000000000003,-28.247000000000014,279.4649999999997,129.71100000000024,309.39218276323646,6.3147,4.1544,9074.4619,9318.6407
3.05,2,-0.020000000000000018,-2.3884,2.3884,-19.232000000000028,263.2379999999994,131.65300000000025,294.95190604062844,7.3673,4.9789,9585.7133,9826.1682
3.05,3,-0.029999999999999805,-2.4448,2.4448,-18.63100000000003,243.40499999999975,130.67799999999988,276.89320661583565,7.7112,5.2664,9754.1031,9984.0898
3.15,1,0.0,-2.2179,2.2179,-25.24200000000002,285.47800000000007,209.08299999999872,354.75420777913195,7.1022,4.8843,9311.3532,9629.0496
3.15,2,-0.040000000000000036,-2.8383000000000003,2.8383000000000003,-17.42900000000003,227.78099999999995,81.3119999999999,242.4862786757221,8.34,5.5017,9827.2366,10004.7889
3.15,3,0.0,-2.553699999999999,2.553699999999999,-16.227000000000032,249.41299999999956,206.1820000000007,324.00798944161863,8.7281,6.1744,9993.8584,10292.5883
3.25,1,-0.020000000000000018,-2.4623,2.4623,-21.034999999999968,235.59199999999964,147.13700000000063,278.55943433673184,7.8692,5.4069,9563.7678,9802.1858
3.25,2,-0.010000000000000231,-2.798,2.798,-13.824000000000012,212.7520000000004,139.39699999999903,254.72738386164903,9.2605,6.4625,10078.8794,10299.705
3.25,3,-0.020000000000000018,-2.8796999999999997,2.8796999999999997,-13.222000000000037,196.52700000000004,135.52100000000064,239.08915586868466,9.6944,6.8147,10250.672,10461.686
3.35,1,0.0,-2.3344999999999994,2.3344999999999994,-18.630999999999972,210.95199999999932,198.44300000000112,290.2197179965554,8.7059,6.3714,9819.3771,10092.6375
3.35,2,0.0,-2.6327,2.6327,-12.621000000000038,213.95499999999993,183.92100000000028,282.4233805955167,10.2593,7.6266,10328.2909,10590.2163
3.35,3,0.0,-2.6889000000000003,2.6889000000000003,-12.622000000000014,215.15800000000036,184.89099999999962,283.9664799390942,10.7525,8.0636,10495.1752,10759.8956
3.45,1,-0.020000000000000018,-2.5323,2.5323,-15.024999999999977,146.64300000000003,121.96799999999894,191.3272408675768,9.6121,7.0798,10072.685,10249.1085
3.45,2,-0.020000000000000018,-2.8407999999999998,2.8407999999999998,-12.020000000000039,171.88699999999972,121.96299999999974,211.10327931607276,11.3413,8.5005,10574.8774,10761.2324
3.45,3,-0.020000000000000018,-2.9232499999999995,2.9232499999999995,-10.817999999999984,176.09099999999944,121.00200000000041,213.9311884905983,11.8863,8.96305,10741.242,10931.0123
3.55,1,0.0,-2.0322999999999993,2.0322999999999993,-13.22199999999998,150.84799999999996,156.8149999999987,217.9928544998656,10.6078,8.5755,10323.5566,10531.5631
3.55,2,0.0,-2.261700000000001,2.261700000000001,-10.81800000000004,179.09600000000046,148.10199999999895,232.65125992351696,12.528,10.2663,10823.0397,11036.0908
3.55,3,-0.04999999999999982,-3.0694,3.0694,-7.512499999999932,128.6170000000002,48.399999999999636,137.62750577282875,13.1306,10.0612,10986.0962,11089.6159
