model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
bayesian_ridge,session_20260615_160438,1,3.05,-2.1603000000000003,-1.9138002955360633,0.24649970446393699,-0.020000000000000018,0.06633705035487925,0.08633705035487926
bayesian_ridge,session_20260615_160438,1,3.15,-2.2179,-2.179966140686708,0.037933859313292295,0.0,0.0371945152360893,0.0371945152360893
bayesian_ridge,session_20260615_160438,1,3.25,-2.4623,-2.4352517804584615,0.027048219541538465,-0.020000000000000018,0.013168420228492295,0.03316842022849231
bayesian_ridge,session_20260615_160438,1,3.35,-2.3344999999999994,-2.2773085955335777,0.05719140446642168,0.0,0.026310843375727533,0.026310843375727533
bayesian_ridge,session_20260615_160438,1,3.45,-2.5323,-2.461440824166317,0.07085917583368317,-0.020000000000000018,0.0011602344817203125,0.02116023448172033
bayesian_ridge,session_20260615_160438,1,3.55,-2.0322999999999993,-1.9547683291341809,0.07753167086581847,0.0,0.01667449866041082,0.01667449866041082
bayesian_ridge,session_20260615_160438,2,3.05,-2.3884,-2.4510427520044464,0.06264275200444658,-0.020000000000000018,-0.002339646031094489,0.01766035396890553
bayesian_ridge,session_20260615_160438,2,3.15,-2.8383000000000003,-2.8592300737609424,0.020930073760942136,-0.040000000000000036,-0.020497474663334625,0.01950252533666541
bayesian_ridge,session_20260615_160438,2,3.25,-2.798,-2.7722412024078213,0.025758797592178695,-0.010000000000000231,-0.0013902877655112,0.008609712234489031
bayesian_ridge,session_20260615_160438,2,3.35,-2.6327,-2.5712498517428255,0.06145014825717432,0.0,0.016029584022753784,0.016029584022753784
bayesian_ridge,session_20260615_160438,2,3.45,-2.8407999999999998,-2.7550458462501037,0.08575415374989603,-0.020000000000000018,-0.005681543781410614,0.014318456218589404
bayesian_ridge,session_20260615_160438,2,3.55,-2.261700000000001,-2.172459875682801,0.0892401243172003,0.0,0.011970951323018841,0.011970951323018841
bayesian_ridge,session_20260615_160438,3,3.05,-2.4448,-2.5100585801101385,0.06525858011013863,-0.029999999999999805,-0.007687335497336356,0.02231266450266345
bayesian_ridge,session_20260615_160438,3,3.15,-2.553699999999999,-2.5520160782340735,0.0016839217659256889,0.0,0.019531476988295715,0.019531476988295715
bayesian_ridge,session_20260615_160438,3,3.25,-2.8796999999999997,-2.8527090874800907,0.02699091251990904,-0.020000000000000018,-0.005443125427722517,0.0145568745722775
bayesian_ridge,session_20260615_160438,3,3.35,-2.6889000000000003,-2.6241559879955876,0.06474401200441271,0.0,0.014034426911310405,0.014034426911310405
bayesian_ridge,session_20260615_160438,3,3.45,-2.9232499999999995,-2.8328271287441815,0.09042287125581794,-0.020000000000000018,-0.0069091824665745705,0.013090817533425447
bayesian_ridge,session_20260615_160438,3,3.55,-3.0694,-2.9995221490891115,0.06987785091088838,-0.04999999999999982,-0.06999174742478287,0.019991747424783046
bayesian_ridge,session_20260618_161152,1,3.05,-2.5864000000000003,-2.6503525345308416,0.06395253453084138,-0.020000000000000018,-0.007700003214928142,0.012299996785071876
bayesian_ridge,session_20260618_161152,1,3.15,-2.6544999999999996,-2.65219533285193,0.002304667148069761,0.020000000000000018,0.014700729633927878,0.00529927036607214
bayesian_ridge,session_20260618_161152,1,3.25,-2.4861000000000004,-2.4426241236813144,0.04347587631868599,0.040000000000000036,0.031564987613094786,0.00843501238690525
bayesian_ridge,session_20260618_161152,1,3.35,-2.763,-2.689371860681181,0.07362813931881895,0.020000000000000018,0.01611323899688344,0.003886761003116579
bayesian_ridge,session_20260618_161152,1,3.45,-3.0108999999999995,-2.912307011880195,0.09859298811980466,-0.020000000000000018,-0.0044918838847585185,0.0155081161152415
bayesian_ridge,session_20260618_161152,1,3.55,-2.3241999999999994,-2.224885510474456,0.09931448952554334,0.020000000000000018,0.015128856090972143,0.004871143909027875
bayesian_ridge,session_20260618_161152,2,3.05,-2.5469999999999997,-2.616818533765498,0.06981853376549818,-0.020000000000000018,-0.0080324500584803,0.011967549941519717
bayesian_ridge,session_20260618_161152,2,3.15,-2.631500000000001,-2.6343965234345,0.0028965234344990876,0.0,0.013711752714939518,0.013711752714939518
bayesian_ridge,session_20260618_161152,2,3.25,-2.931000000000001,-2.9024130385600415,0.028586961439959424,-0.020000000000000018,-0.0074615088289013975,0.01253849117109862
bayesian_ridge,session_20260618_161152,2,3.35,-2.7254000000000005,-2.655946401975859,0.06945359802414153,0.0,0.012608146222101713,0.012608146222101713
bayesian_ridge,session_20260618_161152,2,3.45,-2.9907999999999983,-2.896244051232671,0.09455594876732754,0.0,-0.004781333676280752,0.004781333676280752
bayesian_ridge,session_20260618_161152,2,3.55,-3.1265,-3.021591421856119,0.10490857814388121,-0.040000000000000036,-0.026139762733810912,0.013860237266189124
bayesian_ridge,session_20260618_161152,3,3.05,-2.6947,-2.754955056622368,0.06025505662236785,-0.020000000000000018,-0.014540647724838873,0.0054593522751611445
bayesian_ridge,session_20260618_161152,3,3.15,-2.7441000000000004,-2.7377699111313296,0.0063300888686708134,0.020000000000000018,0.010080074229521507,0.00991992577047851
bayesian_ridge,session_20260618_161152,3,3.25,-2.5755999999999997,-2.527171998618563,0.04842800138143666,0.040000000000000036,0.027271883120622675,0.01272811687937736
bayesian_ridge,session_20260618_161152,3,3.35,-2.8724000000000007,-2.7921511771954,0.08024882280460055,0.020000000000000018,0.01091583607503388,0.009084163924966138
bayesian_ridge,session_20260618_161152,3,3.45,-3.1067,-3.004267001583603,0.10243299841639697,0.0,-0.007346882930932441,0.007346882930932441
bayesian_ridge,session_20260618_161152,3,3.55,-2.3354,-2.2368806862615482,0.09851931373845169,0.020000000000000018,0.01426585306842254,0.005734146931577477
bayesian_ridge,session_20260622_173504,1,2.45,-1.5113999999999996,-1.8749118174960842,0.3635118174960845,-0.020000000000000018,-0.0437294050237913,0.023729405023791283
bayesian_ridge,session_20260622_173504,1,2.55,-1.5455000000000005,-1.5196228874962827,0.025877112503717825,0.0,-0.0006029999929983987,0.0006029999929983987
bayesian_ridge,session_20260622_173504,1,2.65,-1.46725,-1.6063687489390324,0.13911874893903242,0.040000000000000036,0.020298468505845157,0.019701531494154878
bayesian_ridge,session_20260622_173504,1,2.75,-1.64255,-1.6596065518680785,0.01705655186807853,0.020000000000000018,0.02925137888361995,0.009251378883619932
bayesian_ridge,session_20260622_173504,1,2.85,-1.8017500000000002,-1.8056711557152632,0.0039211557152629695,-0.020000000000000018,0.005821958959831175,0.025821958959831193
bayesian_ridge,session_20260622_173504,1,2.95,-1.387500000000001,-1.361843332572894,0.02565666742710704,0.020000000000000018,0.029946877845561826,0.009946877845561808
bayesian_ridge,session_20260622_173504,2,2.45,-1.5803000000000003,-1.567415807314191,0.012884192685809204,-0.009999999999999787,-0.03602094310411896,0.026020943104119176
bayesian_ridge,session_20260622_173504,2,2.55,-1.6426999999999996,-1.448499310420794,0.19420068957920567,0.0,0.0033121660347545934,0.0033121660347545934
bayesian_ridge,session_20260622_173504,2,2.65,-1.85705,-2.0395705044294363,0.18252050442943624,-0.020000000000000018,-0.024349563634685545,0.004349563634685527
bayesian_ridge,session_20260622_173504,2,2.75,-1.7267000000000001,-1.735100299239237,0.008400299239236908,0.0,0.025489646521579257,0.025489646521579257
bayesian_ridge,session_20260622_173504,2,2.85,-1.9028,-1.9010153896857247,0.0017846103142753478,-0.020000000000000018,0.0016801043251204462,0.021680104325120464
bayesian_ridge,session_20260622_173504,2,2.95,-1.4758499999999994,-1.4466366512080793,0.02921334879192017,0.0,0.027506627489276347,0.027506627489276347
bayesian_ridge,session_20260622_173504,3,2.45,-1.3310500000000003,-1.044053045681732,0.2869969543182682,0.009999999999999787,-0.00028815107180202304,0.01028815107180181
bayesian_ridge,session_20260622_173504,3,2.55,-1.6162,-1.5778376497124125,0.03836235028758761,0.0,-0.0010635000383114601,0.0010635000383114601
bayesian_ridge,session_20260622_173504,3,2.65,-1.8304,-2.022046890160129,0.19164689016012915,-0.020000000000000018,-0.02574813040958457,0.005748130409584551
bayesian_ridge,session_20260622_173504,3,2.75,-1.7026499999999993,-1.7179854932641154,0.015335493264116096,0.0,0.024636099432987724,0.024636099432987724
bayesian_ridge,session_20260622_173504,3,2.85,-1.8754000000000008,-1.8789308748545448,0.0035308748545439528,-0.020000000000000018,0.0006505795503368716,0.02065057955033689
bayesian_ridge,session_20260622_173504,3,2.95,-1.4333999999999998,-1.4097144898688967,0.023685510131103094,0.0,0.026696536179642294,0.026696536179642294
bayesian_ridge,session_20260622_180702,1,2.45,-1.5033999999999996,-1.8670814638250715,0.3636814638250718,-0.020000000000000018,-0.039389328203526475,0.019389328203526457
bayesian_ridge,session_20260622_180702,1,2.55,-1.5344000000000002,-1.4943651221509597,0.04003487784904047,0.020000000000000018,0.006582203674350584,0.013417796325649434
bayesian_ridge,session_20260622_180702,1,2.65,-1.4536500000000006,-1.5848054630397739,0.13115546303977332,0.040000000000000036,0.02453343065806246,0.015466569341937575
bayesian_ridge,session_20260622_180702,1,2.75,-1.6241000000000003,-1.6400755026308271,0.01597550263082681,0.020000000000000018,0.02993123805819664,0.009931238058196623
bayesian_ridge,session_20260622_180702,1,2.85,-1.7848499999999996,-1.7874227052372813,0.0025727052372817028,0.0,0.008969056981476431,0.008969056981476431
bayesian_ridge,session_20260622_180702,1,2.95,-1.3839499999999996,-1.3582585658337507,0.02569143416624886,0.020000000000000018,0.02978877139472269,0.009788771394722673
bayesian_ridge,session_20260622_185538,1,2.45,-1.5785000000000005,-1.5476940392235612,0.030805960776439267,-0.020000000000000018,-0.0317701993382582,0.01177019933825818
bayesian_ridge,session_20260622_185538,1,2.55,-1.6370499999999995,-1.3900742238893615,0.24697577611063792,0.0,0.0037103495028296685,0.0037103495028296685
bayesian_ridge,session_20260622_185538,1,2.65,-1.8399999999999999,-2.029027234660128,0.18902723466012805,-0.020000000000000018,-0.024357717141845203,0.0043577171418451854
bayesian_ridge,session_20260622_185538,1,2.75,-1.7155499999999995,-1.7314714498252703,0.015921449825270884,0.0,0.022803633120592526,0.022803633120592526
bayesian_ridge,session_20260622_185538,1,2.85,-1.8929,-1.893439717406526,0.0005397174065260302,-0.020000000000000018,0.0009169515058102817,0.0209169515058103
bayesian_ridge,session_20260622_185538,1,2.95,-1.4774000000000012,-1.4473337117642497,0.030066288235751415,0.0,0.027858138128550536,0.027858138128550536
bayesian_ridge,session_20260622_185538,2,2.45,-1.5238499999999995,-1.6273004622779839,0.10345046227798438,-0.020000000000000018,-0.03449253216917869,0.014492532169178673
bayesian_ridge,session_20260622_185538,2,2.55,-1.5740000000000003,-1.5265670295044407,0.04743297049555961,0.0,0.00515244657468461,0.00515244657468461
bayesian_ridge,session_20260622_185538,2,2.65,-1.7782499999999999,-1.9706174936959666,0.19236749369596673,-0.020000000000000018,-0.022784708645060547,0.0027847086450605296
bayesian_ridge,session_20260622_185538,2,2.75,-1.6507500000000004,-1.6688347760448714,0.01808477604487102,0.0,0.025723017770258316,0.025723017770258316
bayesian_ridge,session_20260622_185538,2,2.85,-1.8327,-1.8384590703566248,0.005759070356624818,0.0,0.002052771710152168,0.002052771710152168
bayesian_ridge,session_20260622_185538,2,2.95,-1.4165999999999999,-1.3934306766813194,0.02316932331868049,0.0,0.027178144767997736,0.027178144767997736
bayesian_ridge,session_20260623_201622,1,3.45,-3.0877,-3.1064155885730056,0.018715588573005704,0.0,-0.008907436884922681,0.008907436884922681
bayesian_ridge,session_20260623_201622,1,3.55,-3.4910000000000014,-3.4703205409177453,0.020679459082256102,-0.020000000000000018,-0.023546294751516594,0.0035462947515165766
bayesian_ridge,session_20260623_201622,1,3.65,-2.581999999999999,-2.561287123128805,0.02071287687119394,0.0,0.006837665285151839,0.006837665285151839
bayesian_ridge,session_20260623_201622,1,3.75,-2.5457,-2.562131735464167,0.016431735464166763,-0.020000000000000018,-0.022817383712952832,0.0028173837129528145
bayesian_ridge,session_20260623_201622,1,3.85,-2.1869999999999976,-2.243222972367434,0.05622297236743634,-0.040000000000000036,-0.03436203295119178,0.005637967048808257
bayesian_ridge,session_20260623_201622,1,3.95,-0.30049999999999955,-0.4140508760094477,0.11355087600944813,0.0,0.0026664185232303517,0.0026664185232303517
bayesian_ridge,session_20260623_201622,2,3.45,-3.0741999999999994,-3.103233476430672,0.029033476430672778,0.0,-0.013817235493776892,0.013817235493776892
bayesian_ridge,session_20260623_201622,2,3.55,-3.4613000000000014,-3.4489257122818344,0.012374287718166954,-0.020000000000000018,-0.026343583203849885,0.006343583203849867
bayesian_ridge,session_20260623_201622,2,3.65,-2.556800000000001,-2.5433413987446265,0.013458601255374347,0.0,0.0035509065780656712,0.0035509065780656712
bayesian_ridge,session_20260623_201622,2,3.75,-2.4830000000000005,-2.5011912528805524,0.0181912528805519,-0.020000000000000018,-0.021658797610237368,0.0016587976102373503
bayesian_ridge,session_20260623_201622,2,3.85,-2.176000000000002,-2.2333462892280345,0.05734628922803253,-0.040000000000000036,-0.03394412677383496,0.006055873226165076
bayesian_ridge,session_20260623_201622,2,3.95,-0.2873999999999981,-0.40365694593025836,0.11625694593026026,0.0,0.003738070285081996,0.003738070285081996
bayesian_ridge,session_20260623_201622,3,3.45,-3.0275999999999996,-3.057709823165517,0.03010982316551747,0.0,-0.011317147999573063,0.011317147999573063
bayesian_ridge,session_20260623_201622,3,3.55,-3.42295,-3.4145780387680595,0.008371961231940617,-0.020000000000000018,-0.025391876277172543,0.005391876277172525
bayesian_ridge,session_20260623_201622,3,3.65,-2.5342000000000002,-2.522906506689246,0.011293493310754243,0.0,0.0031014519156373765,0.0031014519156373765
bayesian_ridge,session_20260623_201622,3,3.75,-2.469199999999999,-2.4876981392699253,0.018498139269926384,-0.020000000000000018,-0.02266331685583456,0.002663316855834541
bayesian_ridge,session_20260623_201622,3,3.85,-2.1484999999999985,-2.2071802694145113,0.058680269414512765,-0.040000000000000036,-0.03342799639631755,0.006572003603682486
bayesian_ridge,session_20260623_201622,3,3.95,-0.28855000000000075,-0.4032143374908408,0.11466433749084004,0.0,0.003947372879767652,0.003947372879767652
bayesian_ridge,session_20260623_204724,1,3.45,-3.3783499999999993,-3.417435572401981,0.03908557240198185,-0.020000000000000018,-0.03223078144790614,0.012230781447906125
bayesian_ridge,session_20260623_204724,1,3.55,-2.9208,-2.910688846237699,0.010111153762300873,0.0,-0.0009781035489293544,0.0009781035489293544
bayesian_ridge,session_20260623_204724,1,3.65,-2.984,-2.9749301832045543,0.009069816795445718,-0.020000000000000018,-0.016418624172148455,0.003581375827851563
bayesian_ridge,session_20260623_204724,1,3.75,-1.4928999999999988,-1.5439132245692484,0.051013224569249616,0.019999999999999574,0.0029019134818484282,0.017098086518151145
bayesian_ridge,session_20260623_204724,1,3.85,-0.6913499999999999,-0.8100386353980085,0.11868863539800856,0.020000000000000018,-0.0024495670218120935,0.02244956702181211
bayesian_ridge,session_20260623_204724,1,3.95,-0.2572499999999991,-0.3750622891205069,0.11781228912050778,0.0,0.004821357866646281,0.004821357866646281
bayesian_ridge,session_20260623_204724,2,3.45,-3.094199999999999,-3.132147765392004,0.03794776539200484,-0.009999999999999787,-0.018647195140190753,0.008647195140190966
bayesian_ridge,session_20260623_204724,2,3.55,-2.5904500000000006,-2.5755382675467278,0.014911732453272819,0.020000000000000018,0.016054622579963596,0.003945377420036422
