experiment,path_family,session_id,trial,pair_id,cycle_index,state_index,branch,state_label,path_label,d_target_mm,F_N,d_mm,local_zone_id,local_p_F_uT,local_p_d_uT,local_residual_uT,local_angle_deg,model,model_family,F_pred_N,d_pred_mm,F_error_N,d_error_mm,work_zone,abs_F_error_N,abs_d_error_mm
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,1,loading,loading_d_305,direct_loading,3.05,6.3147,3.04,Stage3_BlockM_d300_F490,3397.085434346024,5302.759560683691,228.27283326297317,30.689236353757824,apmd_local_identifiability_ridge,APMD local identifiability,6.352212318075003,3.125336241476192,0.0375123180750032,0.0853362414761917,3.0-3.8 mm,0.0375123180750032,0.0853362414761917
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,2,loading,loading_d_315,direct_loading,3.15,7.1022,3.14,Stage3_BlockM_d320_F490,2529.546070977948,5526.320363627302,189.4378496492079,41.90197440613401,apmd_local_identifiability_ridge,APMD local identifiability,7.058084243794415,3.228303100224337,-0.0441157562055849,0.088303100224337,3.0-3.8 mm,0.0441157562055849,0.088303100224337
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,3,loading,loading_d_325,direct_loading,3.25,7.8692,3.24,Stage3_BlockM_d320_F490,2659.083817148859,5767.977123171831,197.26289996784087,41.90197440613401,apmd_local_identifiability_ridge,APMD local identifiability,7.907222354674282,3.324972962630844,0.0380223546742817,0.0849729626308435,3.0-3.8 mm,0.0380223546742817,0.0849729626308435
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,4,loading,loading_d_335,direct_loading,3.35,8.7059,3.35,Stage3_BlockM_d340_F490,2098.1016697894206,6015.337864878662,201.1583423883661,48.52731649716807,apmd_local_identifiability_ridge,APMD local identifiability,8.700560419081906,3.4359625935679614,-0.0053395809180933,0.0859625935679613,3.0-3.8 mm,0.0053395809180933,0.0859625935679613
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,5,loading,loading_d_345,direct_loading,3.45,9.6121,3.44,Stage3_BlockM_d340_F490,2215.2474895731657,6261.198869695075,208.5630379047281,48.52731649716807,apmd_local_identifiability_ridge,APMD local identifiability,9.67060280767966,3.532609011877394,0.0585028076796607,0.0926090118773941,3.0-3.8 mm,0.0585028076796607,0.0926090118773941
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,6,loading,loading_d_355,direct_loading,3.55,10.6078,3.54,Stage3_BlockM_d360_F490,2763.275665507535,6505.205250922906,263.1116035511245,44.8120907078137,apmd_local_identifiability_ridge,APMD local identifiability,10.665858325181787,3.635063627052931,0.0580583251817881,0.095063627052931,3.0-3.8 mm,0.0580583251817881,0.095063627052931
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,7,preload,preload_d_380,preload_deep,3.8,13.2145,3.79,Stage3_BlockM_d360_F490,3132.0410934773217,7138.494984608626,291.7070090730758,44.8120907078137,apmd_local_identifiability_ridge,APMD local identifiability,13.411773088099295,3.890153918754248,0.1972730880992959,0.1001539187542475,3.0-3.8 mm,0.1972730880992959,0.1001539187542475
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,8,unloading,unloading_d_355,return_unloading,3.55,8.5755,3.54,Stage3_BlockM_d360_F490,2929.968741319725,6721.732343260204,280.20724267089673,44.8120907078137,apmd_local_identifiability_ridge,APMD local identifiability,8.74727198945266,3.662572087761424,0.1717719894526599,0.1225720877614233,3.0-3.8 mm,0.1717719894526599,0.1225720877614233
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,9,unloading,unloading_d_345,return_unloading,3.45,7.0798,3.42,Stage3_BlockM_d340_F490,2366.5989200277177,6447.9776910088185,227.4712960586368,48.52731649716807,apmd_local_identifiability_ridge,APMD local identifiability,7.233178928605709,3.5395776768578635,0.1533789286057096,0.1195776768578635,3.0-3.8 mm,0.1533789286057096,0.1195776768578635
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,10,unloading,unloading_d_335,return_unloading,3.35,6.3714,3.35,Stage3_BlockM_d340_F490,2316.8684870258858,6301.937317944081,225.53202803363197,48.52731649716807,apmd_local_identifiability_ridge,APMD local identifiability,6.455155631753136,3.468172170317045,0.083755631753136,0.1181721703170448,3.0-3.8 mm,0.083755631753136,0.1181721703170448
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,11,unloading,unloading_d_325,return_unloading,3.25,5.4069,3.22,Stage3_BlockM_d320_F490,2914.4194515281065,6030.190986057498,224.124616506652,41.90197440613401,apmd_local_identifiability_ridge,APMD local identifiability,5.469742372734999,3.3365097437430795,0.0628423727349991,0.1165097437430793,3.0-3.8 mm,0.0628423727349991,0.1165097437430793
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,12,unloading,unloading_d_315,return_unloading,3.15,4.8843,3.14,Stage3_BlockM_d320_F490,2843.804745613284,5867.978590600322,221.96668035887416,41.90197440613401,apmd_local_identifiability_ridge,APMD local identifiability,4.870997032996344,3.259637257323011,-0.0133029670036552,0.1196372573230108,3.0-3.8 mm,0.0133029670036552,0.1196372573230108
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,1,1,1,13,unloading,unloading_d_305,return_unloading,3.05,4.1544,3.02,Stage3_BlockM_d300_F430,3703.842201445306,5642.580629015035,235.45768378437572,32.4423168421926,apmd_local_identifiability_ridge,APMD local identifiability,4.597045665145245,3.148029302246401,0.4426456651452453,0.1280293022464014,3.0-3.8 mm,0.4426456651452453,0.1280293022464014
6.1 local held-out dense-loop validation,local_minor_loop_dense,session_20260615_160438,2,2,2,1,loading,loading_d_305,direct_loading,3.05,7.3673,3.04,Stage3_BlockM_d300_F490,3532.2456158802943,5474.385463810082,209.61478741500244,30.689236353757824,apmd_local_identifiability_ridge,APMD local identifiability,7.369919498041446,3.097972945165224,0.0026194980414455,0.0579729451652237,3.0-3.8 mm,0.0026194980414455,0.0579729451652237
