work_zone,model,session_id,cycle_index,d_target_mm,measured_delta_F_N,predicted_delta_F_N,abs_delta_F_residual_N,measured_delta_d_mm,predicted_delta_d_mm,abs_delta_d_residual_mm
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,1,1.85,-0.8934499999999999,-0.7865210996940961,0.10692890030590374,-0.020000000000000018,-0.012447852745078647,0.007552147254921371
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,1,1.95,-0.9513499999999999,-0.7781701752629282,0.17317982473707172,0.0,-0.01155927956078684,0.01155927956078684
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,1,2.05,-1.0730499999999998,-0.8480728822354857,0.22497711776451412,0.0,-0.005800957045534183,0.005800957045534183
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,1,2.15,-1.0098499999999997,-1.2699733990515418,0.26012339905154214,0.0,0.00435272549626653,0.00435272549626653
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,1,2.25,-1.0956000000000001,-0.7370479251475914,0.3585520748524087,0.0,0.02639946116291325,0.02639946116291325
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,1,2.35,-1.12995,-0.7270972553430122,0.40285274465698784,-0.020000000000000018,0.02007664316588409,0.04007664316588411
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,2,1.85,-0.8915499999999998,-0.7847028712562916,0.10684712874370828,-0.020000000000000018,-0.016204233270018298,0.00379576672998172
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,2,1.95,-0.9425999999999999,-0.7768073127974473,0.16579268720255258,0.0,-0.014445509281943103,0.014445509281943103
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,2,2.05,-1.0619,-0.8340614211586423,0.22783857884135772,0.0,-0.008395139160412013,0.008395139160412013
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,2,2.15,-1.0040499999999999,-1.2407635230646452,0.23671352306464533,0.0,0.0037299016351228786,0.0037299016351228786
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,2,2.25,-1.0927000000000002,-0.7782741404549185,0.31442585954508173,0.0,0.024411317786523945,0.024411317786523945
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,2,2.35,-1.1362499999999995,-0.735212649496642,0.40103735050335754,-0.020000000000000018,0.018972810997032852,0.03897281099703287
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,3,1.85,-0.8896999999999999,-0.7719809494892713,0.11771905051072862,-0.020000000000000018,-0.01593301040043449,0.004066989599565529
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,3,1.95,-0.9342999999999999,-0.7685972342762233,0.16570276572377662,0.0,-0.014316373194093401,0.014316373194093401
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,3,2.05,-1.05545,-0.8294834038686911,0.22596659613130887,0.0,-0.008902136227489477,0.008902136227489477
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,3,2.15,-0.9927000000000001,-1.2185071291733869,0.22580712917338674,0.020000000000000018,0.007325004376149025,0.012674995623850993
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,3,2.25,-1.0806499999999999,-0.8018302582373082,0.27881974176269164,0.0,0.025212643958853587,0.025212643958853587
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_155402,3,2.35,-1.1265,-0.7272522315950152,0.3992477684049849,-0.040000000000000036,0.017434991739563532,0.05743499173956357
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,1,1.85,-0.93295,-0.7201311780104152,0.2128188219895848,-0.020000000000000018,0.001078313932853181,0.0210783139328532
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,1,1.95,-0.9843999999999999,-1.1255850515149364,0.14118505151493643,0.0,-0.0013988542720828612,0.0013988542720828612
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,1,2.05,-1.1031,-0.9389987971405338,0.16410120285946617,-0.020000000000000018,0.002956557838197593,0.02295655783819761
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,1,2.15,-1.0322,-0.9638418024072979,0.06835819759270212,0.0,0.006505841164589299,0.006505841164589299
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,1,2.25,-1.12365,-1.1823019300600084,0.05865193006000835,0.0,-0.019418967830717282,0.019418967830717282
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,1,2.35,-1.1633,-1.0328823361452923,0.13041766385470765,-0.040000000000000036,-0.024621970361210277,0.015378029638789759
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,2,1.85,-0.9151,-0.6908133795818079,0.22428662041819214,-0.020000000000000018,0.003696395210210701,0.02369639521021072
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,2,1.95,-0.9670000000000001,-1.151398457043793,0.18439845704379287,0.0,0.0005511705274388046,0.0005511705274388046
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,2,2.05,-1.0859,-0.9057241820579667,0.1801758179420334,-0.020000000000000018,0.0028250548202000125,0.02282505482020003
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,2,2.15,-1.0180499999999997,-0.9562463108227486,0.0618036891772511,0.0,0.0075018721761845875,0.0075018721761845875
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,2,2.25,-1.1146499999999997,-1.1889154428854694,0.07426544288546966,-0.020000000000000018,-0.016911607857787114,0.0030883921422129035
1.8-2.6 mm,apmd_local_identifiability_ridge,session_20260624_164026,2,2.35,-1.1631999999999998,-1.033542105033602,0.1296578949663978,-0.040000000000000036,-0.025542894525842463,0.014457105474157572
