work_zone,model,n_pairs,pair_delta_F_MAE_N,pair_delta_d_MAE_mm
1.8-2.6 mm,apmd_local_identifiability_ridge,36,0.19150675677690646,0.01490282116198089
1.8-2.6 mm,apmd_path_memory_ridge,36,1.4124246395992934,0.028960126586797766
1.8-2.6 mm,lim_style_branch_ridge,36,1.2857764267731593,0.02082007472603307
1.8-2.6 mm,plain_magnetic_ridge,36,1.184441286483891,0.0291154794798302
2.4-3.2 mm,apmd_local_identifiability_ridge,36,0.08623980043662227,0.011958535988724353
2.4-3.2 mm,apmd_path_memory_ridge,36,0.45284379069290637,0.01749149628937257
2.4-3.2 mm,lim_style_branch_ridge,36,0.21881264364192063,0.015543560908634882
2.4-3.2 mm,plain_magnetic_ridge,36,2.4884758949902177,0.06224561819952626
3.0-3.8 mm,apmd_local_identifiability_ridge,36,0.10681557264000897,0.019018365756286213
3.0-3.8 mm,apmd_path_memory_ridge,36,1.8053027348900956,0.04567543806568967
3.0-3.8 mm,lim_style_branch_ridge,36,1.6754810696482378,0.04209813254367635
3.0-3.8 mm,plain_magnetic_ridge,36,3.9288595667117594,0.08842676941473081
3.4-4.2 mm,apmd_local_identifiability_ridge,36,0.07163943626562302,0.00800797686918865
3.4-4.2 mm,apmd_path_memory_ridge,36,1.0466549626096884,0.02367872385228151
3.4-4.2 mm,lim_style_branch_ridge,36,1.336927519751094,0.027098300603511125
3.4-4.2 mm,plain_magnetic_ridge,36,2.834602965176209,0.05443474733443612
