target_F,rep,source_session_id,source_trial,F_loading,F_unloading,delta_F,d_loading,d_unloading,delta_d,delta_Bmag,delta_Bx,delta_By,delta_Bz,delta_Bvec
1.5,1,session_20260610_153403,1,1.4083,1.3986,-0.0097,1.59,1.75,0.16,341.9753,1.202,275.859,207.151,344.98
1.5,2,session_20260610_153403,2,1.4409,1.4367,-0.0042,1.59,1.75,0.16,337.2381,1.803,271.053,205.218,339.9815
1.5,3,session_20260610_153403,3,1.4262,1.46785,0.04165,1.57,1.72,0.15,309.7115,1.202,249.413,189.728,313.3768
1.8,1,session_20260611_093557,1,1.7261,1.6941,-0.032,1.79,1.94,0.15,379.4961,4.808,290.282,250.713,383.5932
1.8,2,session_20260611_093557,2,1.73885,1.70295,-0.0359,1.71,1.86,0.15,381.0542,4.207,290.883,250.715,384.0425
1.8,3,session_20260611_093557,3,1.7373,1.709,-0.0283,1.71,1.86,0.15,380.5753,5.1085,289.08,251.681,383.3232
2.5,1,session_20260611_110131,1,2.39495,2.42175,0.0268,2.06,2.2,0.14,309.035,6.01,234.99,204.248,311.406
2.5,2,session_20260611_110131,2,2.4252,2.4632,0.038,2.02,2.16,0.14,308.7834,5.409,237.997,198.44,309.9198
2.5,3,session_20260611_110131,3,2.433,2.47775,0.04475,2.04,2.18,0.14,311.0593,6.01,241.0,199.408,312.8589
3.2,1,session_20260611_142649,1,3.13205,3.08475,-0.0473,2.28,2.39,0.11,290.2834,6.01,228.379,181.016,291.4788
3.2,2,session_20260611_142649,2,3.129,3.0938,-0.0352,2.26,2.37,0.11,290.8929,5.409,227.178,183.921,292.3457
3.2,3,session_20260611_145735,1,3.08875,3.06465,-0.0241,2.24,2.36,0.12,328.0724,4.808,251.819,211.992,329.2059
3.75,1,session_20260611_153032,1,3.67155,3.7123,0.04075,3.07,3.19,0.12,338.1074,8.7145,203.739,272.975,340.7358
3.75,2,session_20260611_153032,2,3.63605,3.6481,0.01205,2.72,2.86,0.14,411.9262,12.02,240.4,340.736,417.1782
3.75,3,session_20260611_155956,1,3.6561,3.653,-0.0031,2.59,2.73,0.14,397.1396,12.02,237.397,322.8275,400.8983
4.3,1,session_20260611_164622,1,4.1658,4.1571,-0.0087,2.75,2.86,0.11,340.8552,4.808,210.35,270.557,342.7409
4.3,2,session_20260611_164622,2,4.1977,4.2051,0.0074,2.72,2.83,0.11,340.7488,5.409,207.3455,272.4915,342.4515
4.3,3,session_20260611_164622,3,4.2074,4.2295,0.0221,2.74,2.85,0.11,342.5125,5.409,203.742,277.816,344.5603
4.9,1,session_20260611_173832,2,4.8261,4.8047,-0.0214,2.89,3.0,0.11,316.7296,6.9115,194.122,252.647,318.6873
4.9,2,session_20260611_181124,1,4.70505,4.7475,0.04245,2.85,2.98,0.13,455.257,6.0095,277.664,363.967,457.8268
4.9,3,session_20260611_183729,1,4.73455,4.715,-0.01955,2.75,2.86,0.11,325.7833,3.606,205.541,253.617,326.4685
