t_s,Bx_uT,By_uT,Bz_uT
6.229999999999999982e-01,-5.759899999999999665e+01,-2.069999999999999929e+01,-1.851299999999999955e+02
6.390000000000000124e-01,-5.789999999999999858e+01,-2.100000000000000000e+01,-1.834360000000000070e+02
6.540000000000000258e-01,-5.895000000000000284e+01,-2.025000000000000000e+01,-1.810159999999999911e+02
6.760000000000000453e-01,-5.745000000000000284e+01,-2.129899999999999949e+01,-1.822259999999999991e+02
6.919999999999999485e-01,-5.834899999999999665e+01,-2.144999999999999929e+01,-1.829509999999999934e+02
7.079999999999999627e-01,-5.834899999999999665e+01,-2.160000000000000142e+01,-1.783540000000000134e+02
7.249999999999999778e-01,-5.654999999999999716e+01,-2.129899999999999949e+01,-1.834360000000000070e+02
7.409999999999999920e-01,-5.714999999999999858e+01,-2.010000000000000142e+01,-1.815000000000000000e+02
7.620000000000000107e-01,-5.909899999999999665e+01,-2.219999999999999929e+01,-1.795629999999999882e+02
7.780000000000000249e-01,-5.745000000000000284e+01,-2.129899999999999949e+01,-1.793220000000000027e+02
7.950000000000000400e-01,-5.714999999999999858e+01,-2.025000000000000000e+01,-1.822259999999999991e+02
8.100000000000000533e-01,-5.759899999999999665e+01,-2.025000000000000000e+01,-1.834360000000000070e+02
8.319999999999999618e-01,-5.834899999999999665e+01,-2.085000000000000142e+01,-1.817419999999999902e+02
8.489999999999999769e-01,-5.984899999999999665e+01,-2.160000000000000142e+01,-1.807740000000000009e+02
8.649999999999999911e-01,-5.684899999999999665e+01,-2.354899999999999949e+01,-1.846459999999999866e+02
8.810000000000000053e-01,-5.729999999999999716e+01,-1.889999999999999858e+01,-1.831939999999999884e+02
8.970000000000000195e-01,-5.714999999999999858e+01,-1.979899999999999949e+01,-1.817419999999999902e+02
9.190000000000000391e-01,-5.820000000000000284e+01,-2.039999999999999858e+01,-1.805310000000000059e+02
9.350000000000000533e-01,-5.609899999999999665e+01,-2.054899999999999949e+01,-1.839199999999999875e+02
9.509999999999999565e-01,-5.895000000000000284e+01,-2.010000000000000142e+01,-1.829509999999999934e+02
9.679999999999999716e-01,-5.820000000000000284e+01,-2.175000000000000000e+01,-1.844039999999999964e+02
9.839999999999999858e-01,-5.789999999999999858e+01,-2.054899999999999949e+01,-1.817419999999999902e+02
1.004999999999999893e+00,-5.804999999999999716e+01,-2.085000000000000142e+01,-1.819840000000000089e+02
1.020999999999999908e+00,-5.745000000000000284e+01,-1.994999999999999929e+01,-1.815000000000000000e+02
1.038999999999999924e+00,-5.729999999999999716e+01,-2.250000000000000000e+01,-1.834360000000000070e+02
1.054000000000000048e+00,-5.684899999999999665e+01,-1.979899999999999949e+01,-1.810159999999999911e+02
1.074999999999999956e+00,-5.879999999999999716e+01,-2.069999999999999929e+01,-1.815000000000000000e+02
1.092000000000000082e+00,-5.550000000000000000e+01,-1.935000000000000142e+01,-1.844039999999999964e+02
1.106999999999999984e+00,-5.834899999999999665e+01,-2.264999999999999858e+01,-1.800480000000000018e+02
1.125000000000000000e+00,-5.625000000000000000e+01,-2.189999999999999858e+01,-1.839199999999999875e+02
1.141000000000000014e+00,-5.804999999999999716e+01,-1.994999999999999929e+01,-1.839199999999999875e+02
1.161999999999999922e+00,-5.804999999999999716e+01,-2.189999999999999858e+01,-1.829509999999999934e+02
1.177999999999999936e+00,-5.759899999999999665e+01,-2.039999999999999858e+01,-1.827090000000000032e+02
1.193999999999999950e+00,-5.700000000000000000e+01,-2.204899999999999949e+01,-1.807740000000000009e+02
1.211000000000000076e+00,-5.850000000000000000e+01,-2.085000000000000142e+01,-1.822259999999999991e+02
1.227000000000000091e+00,-5.504999999999999716e+01,-1.739999999999999858e+01,-1.788379999999999939e+02
1.247999999999999998e+00,-5.700000000000000000e+01,-2.219999999999999929e+01,-1.812580000000000098e+02
1.264999999999999902e+00,-5.714999999999999858e+01,-2.144999999999999929e+01,-1.858559999999999945e+02
1.280999999999999917e+00,-5.639999999999999858e+01,-1.994999999999999929e+01,-1.836769999999999925e+02
1.296999999999999931e+00,-5.670000000000000284e+01,-1.800000000000000000e+01,-1.793220000000000027e+02
1.318000000000000060e+00,-5.909899999999999665e+01,-2.039999999999999858e+01,-1.822259999999999991e+02
1.334999999999999964e+00,-5.700000000000000000e+01,-2.114999999999999858e+01,-1.827090000000000032e+02
1.350000000000000089e+00,-5.729999999999999716e+01,-2.250000000000000000e+01,-1.822259999999999991e+02
1.366999999999999993e+00,-5.729999999999999716e+01,-1.860000000000000142e+01,-1.824679999999999893e+02
1.383999999999999897e+00,-5.759899999999999665e+01,-2.054899999999999949e+01,-1.844039999999999964e+02
1.405000000000000027e+00,-5.445000000000000284e+01,-2.204899999999999949e+01,-1.815000000000000000e+02
1.421000000000000041e+00,-5.459899999999999665e+01,-2.310000000000000142e+01,-1.829509999999999934e+02
1.437000000000000055e+00,-5.714999999999999858e+01,-2.279899999999999949e+01,-1.831939999999999884e+02
1.455000000000000071e+00,-5.714999999999999858e+01,-2.144999999999999929e+01,-1.815000000000000000e+02
1.471000000000000085e+00,-5.759899999999999665e+01,-2.204899999999999949e+01,-1.788379999999999939e+02
1.491000000000000103e+00,-5.714999999999999858e+01,-1.964999999999999858e+01,-1.798050000000000068e+02
1.508000000000000007e+00,-5.850000000000000000e+01,-2.400000000000000000e+01,-1.836769999999999925e+02
1.524000000000000021e+00,-5.759899999999999665e+01,-2.294999999999999929e+01,-1.815000000000000000e+02
1.540999999999999925e+00,-5.834899999999999665e+01,-2.114999999999999858e+01,-1.831939999999999884e+02
1.560999999999999943e+00,-5.909899999999999665e+01,-2.160000000000000142e+01,-1.822259999999999991e+02
