t_s,Bx_uT,By_uT,Bz_uT
4.779999999999999805e-01,2.564999999999999858e+01,5.204999999999999716e+01,3.629999999999999893e+00
4.899999999999999911e-01,2.535000000000000142e+01,5.100000000000000000e+01,8.954000000000000625e+00
5.000000000000000000e-01,3.210000000000000142e+01,5.039999999999999858e+01,1.137400000000000055e+01
5.180000000000000160e-01,2.760000000000000142e+01,5.160000000000000142e+01,8.227999999999999758e+00
5.300000000000000266e-01,2.400000000000000000e+01,4.679999999999999716e+01,1.355199999999999960e+01
5.410000000000000364e-01,2.444999999999999929e+01,5.579999999999999716e+01,6.291999999999999815e+00
5.530000000000000471e-01,3.164999999999999858e+01,4.710000000000000142e+01,4.597999999999999865e+00
5.649999999999999467e-01,3.044999999999999929e+01,5.400000000000000000e+01,6.775999999999999801e+00
5.799999999999999600e-01,2.925000000000000000e+01,4.545000000000000284e+01,-4.839999999999999858e-01
5.919999999999999707e-01,2.760000000000000142e+01,4.845000000000000284e+01,1.693999999999999950e+00
6.029999999999999805e-01,2.864999999999999858e+01,4.725000000000000000e+01,2.419999999999999929e+00
6.149999999999999911e-01,2.910000000000000142e+01,5.595000000000000284e+01,1.524600000000000044e+01
6.250000000000000000e-01,2.910000000000000142e+01,5.264999999999999858e+01,4.839999999999999858e+00
6.370000000000000107e-01,2.580000000000000071e+01,5.295000000000000284e+01,3.871999999999999886e+00
6.530000000000000249e-01,2.655000000000000071e+01,5.550000000000000000e+01,1.089000000000000057e+01
6.640000000000000346e-01,2.789999999999999858e+01,5.070000000000000284e+01,9.195999999999999730e+00
6.750000000000000444e-01,2.580000000000000071e+01,6.000000000000000000e+01,8.954000000000000625e+00
6.870000000000000551e-01,2.625000000000000000e+01,4.935000000000000142e+01,6.533999999999999808e+00
6.989999999999999547e-01,2.775000000000000000e+01,4.620000000000000284e+01,9.195999999999999730e+00
7.089999999999999636e-01,2.550000000000000000e+01,4.904999999999999716e+01,1.306799999999999962e+01
7.269999999999999796e-01,2.655000000000000071e+01,5.160000000000000142e+01,1.331000000000000050e+01
7.379999999999999893e-01,2.610000000000000142e+01,5.054999999999999716e+01,1.790800000000000125e+01
7.500000000000000000e-01,2.235000000000000142e+01,5.279999999999999716e+01,-1.693999999999999950e+00
7.620000000000000107e-01,2.864999999999999858e+01,5.085000000000000142e+01,1.935999999999999943e+00
7.740000000000000213e-01,2.625000000000000000e+01,5.310000000000000142e+01,5.807999999999999829e+00
7.850000000000000311e-01,2.400000000000000000e+01,4.920000000000000284e+01,9.679999999999999716e+00
8.000000000000000444e-01,2.550000000000000000e+01,4.845000000000000284e+01,-1.935999999999999943e+00
8.120000000000000551e-01,1.905000000000000071e+01,5.414999999999999858e+01,1.693999999999999950e+00
8.239999999999999547e-01,2.580000000000000071e+01,5.339999999999999858e+01,9.195999999999999730e+00
8.329999999999999627e-01,2.550000000000000000e+01,5.610000000000000142e+01,4.113999999999999879e+00
8.459999999999999742e-01,2.594999999999999929e+01,5.054999999999999716e+01,1.016399999999999970e+01
8.629999999999999893e-01,2.430000000000000071e+01,5.414999999999999858e+01,4.839999999999999858e-01
8.739999999999999991e-01,2.550000000000000000e+01,4.920000000000000284e+01,1.790800000000000125e+01
8.850000000000000089e-01,2.775000000000000000e+01,5.220000000000000284e+01,4.597999999999999865e+00
8.970000000000000195e-01,2.055000000000000071e+01,5.520000000000000284e+01,1.935999999999999943e+00
9.090000000000000302e-01,2.580000000000000071e+01,4.889999999999999858e+01,4.113999999999999879e+00
9.200000000000000400e-01,2.325000000000000000e+01,4.814999999999999858e+01,1.500399999999999956e+01
9.360000000000000542e-01,2.535000000000000142e+01,5.414999999999999858e+01,1.161599999999999966e+01
9.479999999999999538e-01,3.404999999999999716e+01,5.070000000000000284e+01,1.161599999999999966e+01
9.589999999999999636e-01,2.189999999999999858e+01,5.625000000000000000e+01,8.470000000000000639e+00
9.719999999999999751e-01,2.714999999999999858e+01,4.589999999999999858e+01,5.323999999999999844e+00
9.829999999999999849e-01,2.505000000000000071e+01,4.920000000000000284e+01,8.711999999999999744e+00
9.939999999999999947e-01,2.910000000000000142e+01,4.829999999999999716e+01,3.387999999999999901e+00
1.010999999999999899e+00,3.345000000000000284e+01,5.145000000000000284e+01,1.258399999999999963e+01
1.022999999999999909e+00,2.819999999999999929e+01,5.279999999999999716e+01,8.227999999999999758e+00
1.034000000000000030e+00,2.069999999999999929e+01,4.950000000000000000e+01,1.234200000000000053e+01
1.046000000000000041e+00,2.894999999999999929e+01,4.845000000000000284e+01,5.323999999999999844e+00
1.056999999999999940e+00,2.339999999999999858e+01,4.770000000000000284e+01,6.775999999999999801e+00
1.068999999999999950e+00,2.969999999999999929e+01,4.935000000000000142e+01,1.209999999999999964e+00
1.082999999999999963e+00,2.475000000000000000e+01,4.920000000000000284e+01,3.629999999999999893e+00
1.094999999999999973e+00,2.760000000000000142e+01,5.189999999999999858e+01,3.871999999999999886e+00
1.106999999999999984e+00,2.144999999999999929e+01,4.470000000000000284e+01,1.064799999999999969e+01
1.118000000000000105e+00,2.414999999999999858e+01,5.250000000000000000e+01,1.016399999999999970e+01
1.129999999999999893e+00,2.385000000000000142e+01,4.575000000000000000e+01,9.195999999999999730e+00
1.145999999999999908e+00,2.700000000000000000e+01,4.829999999999999716e+01,1.089000000000000057e+01
1.157999999999999918e+00,2.069999999999999929e+01,5.564999999999999858e+01,8.227999999999999758e+00
1.169000000000000039e+00,2.714999999999999858e+01,4.350000000000000000e+01,7.743999999999999773e+00
1.181000000000000050e+00,2.714999999999999858e+01,5.114999999999999858e+01,1.209999999999999964e+01
1.193000000000000060e+00,2.325000000000000000e+01,4.635000000000000142e+01,2.177999999999999936e+00
1.203999999999999959e+00,2.985000000000000142e+01,5.370000000000000284e+01,1.935999999999999943e+00
1.219999999999999973e+00,2.414999999999999858e+01,5.579999999999999716e+01,8.470000000000000639e+00
1.231999999999999984e+00,2.625000000000000000e+01,5.220000000000000284e+01,8.711999999999999744e+00
1.243000000000000105e+00,2.550000000000000000e+01,5.145000000000000284e+01,5.081999999999999851e+00
1.254999999999999893e+00,2.430000000000000071e+01,4.964999999999999858e+01,9.438000000000000611e+00
1.266000000000000014e+00,2.730000000000000071e+01,4.604999999999999716e+01,7.259999999999999787e-01
1.278999999999999915e+00,2.894999999999999929e+01,4.904999999999999716e+01,6.049999999999999822e+00
1.294000000000000039e+00,3.044999999999999929e+01,4.845000000000000284e+01,9.679999999999999716e-01
1.306000000000000050e+00,2.789999999999999858e+01,5.339999999999999858e+01,-9.195999999999999730e+00
1.318000000000000060e+00,3.014999999999999858e+01,5.354999999999999716e+01,8.711999999999999744e+00
1.330000000000000071e+00,2.910000000000000142e+01,5.310000000000000142e+01,1.427800000000000047e+01
1.340999999999999970e+00,2.339999999999999858e+01,5.070000000000000284e+01,-2.419999999999999929e-01
1.352999999999999980e+00,2.280000000000000071e+01,5.325000000000000000e+01,1.306799999999999962e+01
1.368999999999999995e+00,2.894999999999999929e+01,5.685000000000000142e+01,2.177999999999999936e+00
1.381000000000000005e+00,2.955000000000000071e+01,5.189999999999999858e+01,1.935999999999999943e+00
1.391999999999999904e+00,2.925000000000000000e+01,5.039999999999999858e+01,-9.679999999999999716e-01
1.403999999999999915e+00,2.460000000000000142e+01,4.950000000000000000e+01,2.419999999999999929e+00
1.413999999999999924e+00,2.489999999999999858e+01,5.235000000000000142e+01,1.258399999999999963e+01
1.431000000000000050e+00,2.339999999999999858e+01,5.400000000000000000e+01,8.470000000000000639e+00
1.443000000000000060e+00,2.744999999999999929e+01,5.085000000000000142e+01,2.661999999999999922e+00
1.453000000000000069e+00,2.730000000000000071e+01,5.145000000000000284e+01,6.533999999999999808e+00
1.465999999999999970e+00,3.044999999999999929e+01,4.860000000000000142e+01,-1.451999999999999957e+00
1.477999999999999980e+00,2.250000000000000000e+01,4.335000000000000142e+01,8.470000000000000639e+00
1.489000000000000101e+00,2.894999999999999929e+01,5.339999999999999858e+01,3.871999999999999886e+00
1.504000000000000004e+00,2.744999999999999929e+01,4.650000000000000000e+01,1.064799999999999969e+01
1.516000000000000014e+00,3.089999999999999858e+01,5.204999999999999716e+01,8.954000000000000625e+00
1.528999999999999915e+00,2.430000000000000071e+01,4.964999999999999858e+01,-4.113999999999999879e+00
1.540000000000000036e+00,3.194999999999999929e+01,5.235000000000000142e+01,1.355199999999999960e+01
1.550999999999999934e+00,2.850000000000000000e+01,5.160000000000000142e+01,7.501999999999999780e+00
1.562999999999999945e+00,2.235000000000000142e+01,5.054999999999999716e+01,2.419999999999999929e+00
1.578999999999999959e+00,2.880000000000000071e+01,5.010000000000000142e+01,1.427800000000000047e+01
1.590000000000000080e+00,2.594999999999999929e+01,4.785000000000000142e+01,7.259999999999999787e+00
1.602000000000000091e+00,2.880000000000000071e+01,5.100000000000000000e+01,8.470000000000000639e+00
1.612999999999999989e+00,2.669999999999999929e+01,5.175000000000000000e+01,8.227999999999999758e+00
1.624000000000000110e+00,2.760000000000000142e+01,5.279999999999999716e+01,3.629999999999999893e+00
1.635000000000000009e+00,2.535000000000000142e+01,4.800000000000000000e+01,8.954000000000000625e+00
1.651999999999999913e+00,2.460000000000000142e+01,5.010000000000000142e+01,9.438000000000000611e+00
1.661999999999999922e+00,2.264999999999999858e+01,5.310000000000000142e+01,1.137400000000000055e+01
1.675000000000000044e+00,2.460000000000000142e+01,4.829999999999999716e+01,5.807999999999999829e+00
1.687000000000000055e+00,2.819999999999999929e+01,4.800000000000000000e+01,1.379400000000000048e+01
