t_s,Bx_uT,By_uT,Bz_uT
3.780000000000000027e-01,2.959499999999999886e+02,-1.005000000000000071e+01,4.801270000000000095e+02
3.870000000000000107e-01,2.942989999999999782e+02,4.198999999999999844e+00,4.798860000000000241e+02
3.950000000000000178e-01,2.998500000000000227e+02,4.799999999999999822e+00,4.835160000000000196e+02
4.060000000000000275e-01,2.978999999999999773e+02,1.949999999999999956e+00,4.893240000000000123e+02
4.169999999999999818e-01,3.056999999999999886e+02,4.650000000000000355e+00,4.864189999999999827e+02
4.249999999999999889e-01,3.004499999999999886e+02,6.000000000000000000e+00,4.987620000000000005e+02
4.329999999999999960e-01,2.931000000000000227e+02,8.990000000000000213e-01,4.948899999999999864e+02
4.420000000000000040e-01,2.976000000000000227e+02,1.949999999999999956e+00,4.801270000000000095e+02
4.560000000000000164e-01,3.076499999999999773e+02,3.000000000000000000e+00,4.852090000000000032e+02
4.640000000000000235e-01,3.036000000000000227e+02,8.398999999999999133e+00,4.859359999999999786e+02
4.719999999999999751e-01,3.040489999999999782e+02,6.750000000000000000e+00,4.958580000000000041e+02
4.809999999999999831e-01,3.001499999999999773e+02,3.149999999999999911e+00,4.861779999999999973e+02
4.899999999999999911e-01,3.023999999999999773e+02,1.350000000000000000e+01,4.963419999999999845e+02
5.030000000000000027e-01,3.001499999999999773e+02,8.990000000000000213e-01,4.861779999999999973e+02
5.110000000000000098e-01,3.066000000000000227e+02,-2.549999999999999822e+00,5.023919999999999959e+02
5.190000000000000169e-01,3.017989999999999782e+02,2.700000000000000178e+00,4.888399999999999750e+02
5.290000000000000258e-01,2.970000000000000000e+02,-3.899999999999999911e+00,4.825480000000000018e+02
5.360000000000000320e-01,3.071999999999999886e+02,-4.198999999999999844e+00,4.939220000000000255e+02
5.500000000000000444e-01,3.016499999999999773e+02,-2.549999999999999822e+00,4.786759999999999877e+02
5.580000000000000515e-01,2.981999999999999886e+02,1.064899999999999913e+01,4.806109999999999900e+02
5.659999999999999476e-01,2.942989999999999782e+02,-5.999999999999999778e-01,5.091669999999999732e+02
5.749999999999999556e-01,2.935489999999999782e+02,3.149999999999999911e+00,4.743190000000000168e+02
5.879999999999999671e-01,2.998500000000000227e+02,4.349999999999999645e+00,4.777080000000000268e+02
5.969999999999999751e-01,3.000000000000000000e+02,4.799999999999999822e+00,4.767400000000000091e+02
6.049999999999999822e-01,2.981999999999999886e+02,1.500000000000000000e+00,4.760140000000000100e+02
6.139999999999999902e-01,2.991000000000000227e+02,-1.500000000000000000e+00,4.871460000000000150e+02
6.219999999999999973e-01,2.895000000000000000e+02,3.450000000000000178e+00,4.806109999999999900e+02
6.350000000000000089e-01,3.052500000000000000e+02,9.449999999999999289e+00,4.849680000000000177e+02
6.440000000000000169e-01,3.090000000000000000e+02,4.500000000000000000e+00,4.927119999999999891e+02
6.520000000000000240e-01,3.010489999999999782e+02,-3.450000000000000178e+00,4.859359999999999786e+02
6.610000000000000320e-01,2.987989999999999782e+02,1.199999999999999956e+00,4.907760000000000105e+02
6.690000000000000391e-01,3.086999999999999886e+02,1.455000000000000071e+01,4.883550000000000182e+02
6.820000000000000506e-01,2.966999999999999886e+02,-1.350000000000000089e+00,4.936800000000000068e+02
