t_s,Bx_uT,By_uT,Bz_uT
6.000000000000000125e-03,2.294999999999999929e+01,4.950000000000000000e+01,4.113999999999999879e+00
2.851999999999999869e+00,2.279899999999999949e+01,5.009899999999999665e+01,4.597000000000000419e+00
2.923000000000000043e+00,2.429899999999999949e+01,5.054999999999999716e+01,4.839999999999999858e+00
2.987999999999999989e+00,2.325000000000000000e+01,5.070000000000000284e+01,4.597000000000000419e+00
3.053999999999999826e+00,2.369999999999999929e+01,5.025000000000000000e+01,4.355999999999999872e+00
3.117999999999999883e+00,2.325000000000000000e+01,5.054999999999999716e+01,3.629999999999999893e+00
3.188000000000000167e+00,2.444999999999999929e+01,5.054999999999999716e+01,4.597000000000000419e+00
3.254999999999999893e+00,2.310000000000000142e+01,5.009899999999999665e+01,3.387999999999999901e+00
3.318999999999999950e+00,2.354899999999999949e+01,4.950000000000000000e+01,3.871999999999999886e+00
3.386000000000000121e+00,2.310000000000000142e+01,5.025000000000000000e+01,3.145999999999999908e+00
3.450000000000000178e+00,2.339999999999999858e+01,5.025000000000000000e+01,3.145999999999999908e+00
3.520000000000000018e+00,2.369999999999999929e+01,4.995000000000000284e+01,3.871999999999999886e+00
3.584999999999999964e+00,2.294999999999999929e+01,5.070000000000000284e+01,3.387999999999999901e+00
3.650999999999999801e+00,2.310000000000000142e+01,4.950000000000000000e+01,2.177999999999999936e+00
3.716000000000000192e+00,2.400000000000000000e+01,5.009899999999999665e+01,3.145999999999999908e+00
3.782000000000000028e+00,2.310000000000000142e+01,4.964999999999999858e+01,3.629999999999999893e+00
3.851999999999999869e+00,2.339999999999999858e+01,4.934899999999999665e+01,4.355999999999999872e+00
3.916999999999999815e+00,2.279899999999999949e+01,4.920000000000000284e+01,4.113999999999999879e+00
3.983000000000000096e+00,2.339999999999999858e+01,4.964999999999999858e+01,3.387999999999999901e+00
4.048000000000000043e+00,2.354899999999999949e+01,5.009899999999999665e+01,3.871999999999999886e+00
4.118000000000000327e+00,2.414999999999999858e+01,5.084899999999999665e+01,3.629999999999999893e+00
4.182999999999999829e+00,2.294999999999999929e+01,4.964999999999999858e+01,4.113999999999999879e+00
4.248000000000000220e+00,2.385000000000000142e+01,4.995000000000000284e+01,4.839999999999999858e+00
4.315000000000000391e+00,2.385000000000000142e+01,5.009899999999999665e+01,4.355999999999999872e+00
4.379999999999999893e+00,2.369999999999999929e+01,4.950000000000000000e+01,4.839999999999999858e+00
4.450000000000000178e+00,2.369999999999999929e+01,4.995000000000000284e+01,3.629999999999999893e+00
4.514999999999999680e+00,2.339999999999999858e+01,4.995000000000000284e+01,3.387999999999999901e+00
4.580000000000000071e+00,2.369999999999999929e+01,4.950000000000000000e+01,3.629999999999999893e+00
4.644999999999999574e+00,2.400000000000000000e+01,5.009899999999999665e+01,2.903999999999999915e+00
4.711999999999999744e+00,2.385000000000000142e+01,5.054999999999999716e+01,4.113999999999999879e+00
4.782000000000000028e+00,2.414999999999999858e+01,4.950000000000000000e+01,3.629999999999999893e+00
4.847999999999999865e+00,2.400000000000000000e+01,4.979999999999999716e+01,3.871999999999999886e+00
4.911999999999999922e+00,2.325000000000000000e+01,5.025000000000000000e+01,3.871999999999999886e+00
4.977000000000000313e+00,2.400000000000000000e+01,4.995000000000000284e+01,4.355999999999999872e+00
5.048000000000000043e+00,2.385000000000000142e+01,4.995000000000000284e+01,2.661999999999999922e+00
5.113000000000000433e+00,2.339999999999999858e+01,5.039999999999999858e+01,3.871999999999999886e+00
5.179000000000000270e+00,2.369999999999999929e+01,5.009899999999999665e+01,4.113999999999999879e+00
5.243000000000000327e+00,2.310000000000000142e+01,5.039999999999999858e+01,3.629999999999999893e+00
5.309000000000000163e+00,2.294999999999999929e+01,4.995000000000000284e+01,3.387999999999999901e+00
5.379999999999999893e+00,2.385000000000000142e+01,4.964999999999999858e+01,4.597000000000000419e+00
5.445000000000000284e+00,2.310000000000000142e+01,4.979999999999999716e+01,3.871999999999999886e+00
5.511000000000000121e+00,2.369999999999999929e+01,5.070000000000000284e+01,4.597000000000000419e+00
5.575000000000000178e+00,2.369999999999999929e+01,4.979999999999999716e+01,2.903999999999999915e+00
5.641000000000000014e+00,2.414999999999999858e+01,5.025000000000000000e+01,4.113999999999999879e+00
5.711999999999999744e+00,2.325000000000000000e+01,5.054999999999999716e+01,3.871999999999999886e+00
5.777000000000000135e+00,2.369999999999999929e+01,5.025000000000000000e+01,3.629999999999999893e+00
5.841000000000000192e+00,2.339999999999999858e+01,4.979999999999999716e+01,4.597000000000000419e+00
5.907000000000000028e+00,2.429899999999999949e+01,5.114999999999999858e+01,3.387999999999999901e+00
5.977000000000000313e+00,2.385000000000000142e+01,5.025000000000000000e+01,3.629999999999999893e+00
6.041999999999999815e+00,2.369999999999999929e+01,4.979999999999999716e+01,3.629999999999999893e+00
6.107999999999999652e+00,2.354899999999999949e+01,4.979999999999999716e+01,4.597000000000000419e+00
6.173000000000000043e+00,2.339999999999999858e+01,5.114999999999999858e+01,3.145999999999999908e+00
6.238999999999999879e+00,2.354899999999999949e+01,5.054999999999999716e+01,4.113999999999999879e+00
6.309000000000000163e+00,2.400000000000000000e+01,4.979999999999999716e+01,3.871999999999999886e+00
6.375000000000000000e+00,2.264999999999999858e+01,5.009899999999999665e+01,3.871999999999999886e+00
6.440000000000000391e+00,2.369999999999999929e+01,5.009899999999999665e+01,3.871999999999999886e+00
6.504999999999999893e+00,2.385000000000000142e+01,5.025000000000000000e+01,5.323999999999999844e+00
6.570999999999999730e+00,2.354899999999999949e+01,5.070000000000000284e+01,3.629999999999999893e+00
6.641000000000000014e+00,2.354899999999999949e+01,5.025000000000000000e+01,2.177999999999999936e+00
6.706999999999999851e+00,2.369999999999999929e+01,4.964999999999999858e+01,3.387999999999999901e+00
6.772000000000000242e+00,2.294999999999999929e+01,5.039999999999999858e+01,3.387999999999999901e+00
6.836999999999999744e+00,2.325000000000000000e+01,4.995000000000000284e+01,3.871999999999999886e+00
6.907000000000000028e+00,2.354899999999999949e+01,5.025000000000000000e+01,3.145999999999999908e+00
6.972999999999999865e+00,2.385000000000000142e+01,5.025000000000000000e+01,4.355999999999999872e+00
7.036999999999999922e+00,2.339999999999999858e+01,4.964999999999999858e+01,4.597000000000000419e+00
7.104000000000000092e+00,2.414999999999999858e+01,5.009899999999999665e+01,3.871999999999999886e+00
7.168999999999999595e+00,2.414999999999999858e+01,5.025000000000000000e+01,3.387999999999999901e+00
7.238999999999999879e+00,2.325000000000000000e+01,5.084899999999999665e+01,4.113999999999999879e+00
7.304999999999999716e+00,2.385000000000000142e+01,4.995000000000000284e+01,4.113999999999999879e+00
7.368999999999999773e+00,2.339999999999999858e+01,5.070000000000000284e+01,3.871999999999999886e+00
7.434999999999999609e+00,2.354899999999999949e+01,4.964999999999999858e+01,4.113999999999999879e+00
7.501000000000000334e+00,2.385000000000000142e+01,5.009899999999999665e+01,3.387999999999999901e+00
7.570999999999999730e+00,2.400000000000000000e+01,5.039999999999999858e+01,4.597000000000000419e+00
7.636999999999999567e+00,2.369999999999999929e+01,5.009899999999999665e+01,3.145999999999999908e+00
7.700999999999999623e+00,2.385000000000000142e+01,5.084899999999999665e+01,3.145999999999999908e+00
7.766000000000000014e+00,2.339999999999999858e+01,4.995000000000000284e+01,3.871999999999999886e+00
7.836999999999999744e+00,2.369999999999999929e+01,4.934899999999999665e+01,3.871999999999999886e+00
7.902000000000000135e+00,2.400000000000000000e+01,4.920000000000000284e+01,3.387999999999999901e+00
7.966999999999999638e+00,2.429899999999999949e+01,4.979999999999999716e+01,4.355999999999999872e+00
8.032000000000000028e+00,2.264999999999999858e+01,5.039999999999999858e+01,4.113999999999999879e+00
8.099000000000000199e+00,2.369999999999999929e+01,5.009899999999999665e+01,3.387999999999999901e+00
8.169000000000000483e+00,2.400000000000000000e+01,4.964999999999999858e+01,4.113999999999999879e+00
8.233999999999999986e+00,2.325000000000000000e+01,4.979999999999999716e+01,4.113999999999999879e+00
8.298999999999999488e+00,2.354899999999999949e+01,4.964999999999999858e+01,4.355999999999999872e+00
8.364000000000000767e+00,2.339999999999999858e+01,4.979999999999999716e+01,3.871999999999999886e+00
8.430999999999999162e+00,2.400000000000000000e+01,5.039999999999999858e+01,5.081999999999999851e+00
8.500999999999999446e+00,2.400000000000000000e+01,5.009899999999999665e+01,4.839999999999999858e+00
8.566000000000000725e+00,2.339999999999999858e+01,5.025000000000000000e+01,3.629999999999999893e+00
8.630000000000000782e+00,2.369999999999999929e+01,5.025000000000000000e+01,5.081999999999999851e+00
8.695999999999999730e+00,2.385000000000000142e+01,5.070000000000000284e+01,3.871999999999999886e+00
8.766000000000000014e+00,2.325000000000000000e+01,5.009899999999999665e+01,3.387999999999999901e+00
8.832000000000000739e+00,2.294999999999999929e+01,5.039999999999999858e+01,3.629999999999999893e+00
8.897000000000000242e+00,2.310000000000000142e+01,5.009899999999999665e+01,3.629999999999999893e+00
8.961999999999999744e+00,2.279899999999999949e+01,5.009899999999999665e+01,4.113999999999999879e+00
9.028000000000000469e+00,2.339999999999999858e+01,4.934899999999999665e+01,3.387999999999999901e+00
9.099000000000000199e+00,2.385000000000000142e+01,5.070000000000000284e+01,4.355999999999999872e+00
9.163999999999999702e+00,2.325000000000000000e+01,5.039999999999999858e+01,3.145999999999999908e+00
9.228999999999999204e+00,2.339999999999999858e+01,4.950000000000000000e+01,4.355999999999999872e+00
9.294000000000000483e+00,2.400000000000000000e+01,4.964999999999999858e+01,3.387999999999999901e+00
9.359999999999999432e+00,2.414999999999999858e+01,4.934899999999999665e+01,3.145999999999999908e+00
9.430999999999999162e+00,2.369999999999999929e+01,5.009899999999999665e+01,4.113999999999999879e+00
9.493999999999999773e+00,2.339999999999999858e+01,4.979999999999999716e+01,4.113999999999999879e+00
9.560000000000000497e+00,2.325000000000000000e+01,5.025000000000000000e+01,4.113999999999999879e+00
9.625999999999999446e+00,2.400000000000000000e+01,5.009899999999999665e+01,2.661999999999999922e+00
9.695999999999999730e+00,2.339999999999999858e+01,5.009899999999999665e+01,3.629999999999999893e+00
9.762000000000000455e+00,2.354899999999999949e+01,5.009899999999999665e+01,5.081999999999999851e+00
9.826000000000000512e+00,2.310000000000000142e+01,4.950000000000000000e+01,3.387999999999999901e+00
9.891999999999999460e+00,2.354899999999999949e+01,4.979999999999999716e+01,3.145999999999999908e+00
9.958000000000000185e+00,2.294999999999999929e+01,4.920000000000000284e+01,3.145999999999999908e+00
1.002800000000000047e+01,2.325000000000000000e+01,5.025000000000000000e+01,3.387999999999999901e+00
1.009399999999999942e+01,2.325000000000000000e+01,5.070000000000000284e+01,3.387999999999999901e+00
1.015799999999999947e+01,2.429899999999999949e+01,4.964999999999999858e+01,3.387999999999999901e+00
1.022400000000000020e+01,2.369999999999999929e+01,4.979999999999999716e+01,3.871999999999999886e+00
1.028999999999999915e+01,2.325000000000000000e+01,5.039999999999999858e+01,3.387999999999999901e+00
1.035999999999999943e+01,2.310000000000000142e+01,5.054999999999999716e+01,4.355999999999999872e+00
1.042500000000000071e+01,2.339999999999999858e+01,4.964999999999999858e+01,3.145999999999999908e+00
1.049000000000000021e+01,2.325000000000000000e+01,5.070000000000000284e+01,3.871999999999999886e+00
1.055599999999999916e+01,2.294999999999999929e+01,5.070000000000000284e+01,3.145999999999999908e+00
1.062599999999999945e+01,2.354899999999999949e+01,5.009899999999999665e+01,4.355999999999999872e+00
1.069100000000000072e+01,2.429899999999999949e+01,4.920000000000000284e+01,3.387999999999999901e+00
1.075600000000000023e+01,2.429899999999999949e+01,5.009899999999999665e+01,3.871999999999999886e+00
1.082099999999999973e+01,2.294999999999999929e+01,5.025000000000000000e+01,3.629999999999999893e+00
1.088799999999999990e+01,2.354899999999999949e+01,4.979999999999999716e+01,2.903999999999999915e+00
1.095800000000000018e+01,2.369999999999999929e+01,5.054999999999999716e+01,3.871999999999999886e+00
1.102299999999999969e+01,2.385000000000000142e+01,5.054999999999999716e+01,2.177999999999999936e+00
1.108799999999999919e+01,2.339999999999999858e+01,5.039999999999999858e+01,2.661999999999999922e+00
1.115300000000000047e+01,2.385000000000000142e+01,5.054999999999999716e+01,3.871999999999999886e+00
1.122000000000000064e+01,2.339999999999999858e+01,4.979999999999999716e+01,3.387999999999999901e+00
1.128999999999999915e+01,2.385000000000000142e+01,5.054999999999999716e+01,4.839999999999999858e+00
1.135500000000000043e+01,2.369999999999999929e+01,4.964999999999999858e+01,3.629999999999999893e+00
1.141999999999999993e+01,2.400000000000000000e+01,4.950000000000000000e+01,3.629999999999999893e+00
1.148499999999999943e+01,2.339999999999999858e+01,4.964999999999999858e+01,3.629999999999999893e+00
1.155599999999999916e+01,2.400000000000000000e+01,5.054999999999999716e+01,3.145999999999999908e+00
1.162199999999999989e+01,2.325000000000000000e+01,4.920000000000000284e+01,2.661999999999999922e+00
1.168599999999999994e+01,2.354899999999999949e+01,5.025000000000000000e+01,4.113999999999999879e+00
1.175200000000000067e+01,2.264999999999999858e+01,5.054999999999999716e+01,4.113999999999999879e+00
1.181700000000000017e+01,2.310000000000000142e+01,4.995000000000000284e+01,2.661999999999999922e+00
1.188799999999999990e+01,2.400000000000000000e+01,5.009899999999999665e+01,3.871999999999999886e+00
1.195299999999999940e+01,2.369999999999999929e+01,4.979999999999999716e+01,5.081999999999999851e+00
1.201800000000000068e+01,2.400000000000000000e+01,4.964999999999999858e+01,3.387999999999999901e+00
1.208300000000000018e+01,2.369999999999999929e+01,4.995000000000000284e+01,3.871999999999999886e+00
1.214899999999999913e+01,2.279899999999999949e+01,5.025000000000000000e+01,3.145999999999999908e+00
1.222000000000000064e+01,2.339999999999999858e+01,5.025000000000000000e+01,3.871999999999999886e+00
1.228500000000000014e+01,2.414999999999999858e+01,4.964999999999999858e+01,3.387999999999999901e+00
1.234999999999999964e+01,2.325000000000000000e+01,5.025000000000000000e+01,2.903999999999999915e+00
1.241499999999999915e+01,2.339999999999999858e+01,4.964999999999999858e+01,3.871999999999999886e+00
1.248499999999999943e+01,2.310000000000000142e+01,4.995000000000000284e+01,3.629999999999999893e+00
1.255199999999999960e+01,2.414999999999999858e+01,4.995000000000000284e+01,3.871999999999999886e+00
1.261700000000000088e+01,2.354899999999999949e+01,5.025000000000000000e+01,3.387999999999999901e+00
1.268200000000000038e+01,2.400000000000000000e+01,4.995000000000000284e+01,4.597000000000000419e+00
1.274699999999999989e+01,2.400000000000000000e+01,5.039999999999999858e+01,4.355999999999999872e+00
1.281700000000000017e+01,2.385000000000000142e+01,4.995000000000000284e+01,3.145999999999999908e+00
1.288400000000000034e+01,2.354899999999999949e+01,4.964999999999999858e+01,3.629999999999999893e+00
1.294899999999999984e+01,2.325000000000000000e+01,4.979999999999999716e+01,3.145999999999999908e+00
1.301399999999999935e+01,2.369999999999999929e+01,5.009899999999999665e+01,3.629999999999999893e+00
1.307900000000000063e+01,2.369999999999999929e+01,4.995000000000000284e+01,2.661999999999999922e+00
1.314899999999999913e+01,2.385000000000000142e+01,4.979999999999999716e+01,2.903999999999999915e+00
1.321400000000000041e+01,2.325000000000000000e+01,4.934899999999999665e+01,4.355999999999999872e+00
1.327999999999999936e+01,2.354899999999999949e+01,4.934899999999999665e+01,3.387999999999999901e+00
1.334600000000000009e+01,2.414999999999999858e+01,4.934899999999999665e+01,4.839999999999999858e+00
1.341499999999999915e+01,2.369999999999999929e+01,4.950000000000000000e+01,2.903999999999999915e+00
1.348099999999999987e+01,2.325000000000000000e+01,5.025000000000000000e+01,2.903999999999999915e+00
1.354599999999999937e+01,2.310000000000000142e+01,4.964999999999999858e+01,3.387999999999999901e+00
1.361200000000000010e+01,2.354899999999999949e+01,5.009899999999999665e+01,4.597000000000000419e+00
1.367800000000000082e+01,2.354899999999999949e+01,4.979999999999999716e+01,2.661999999999999922e+00
1.374699999999999989e+01,2.279899999999999949e+01,4.979999999999999716e+01,2.177999999999999936e+00
1.381300000000000061e+01,2.294999999999999929e+01,4.920000000000000284e+01,2.661999999999999922e+00
1.387800000000000011e+01,2.369999999999999929e+01,4.979999999999999716e+01,4.355999999999999872e+00
1.394400000000000084e+01,2.354899999999999949e+01,4.979999999999999716e+01,3.387999999999999901e+00
1.400900000000000034e+01,2.400000000000000000e+01,4.964999999999999858e+01,3.629999999999999893e+00
1.407900000000000063e+01,2.460000000000000142e+01,4.964999999999999858e+01,3.871999999999999886e+00
1.414400000000000013e+01,2.385000000000000142e+01,4.979999999999999716e+01,4.597000000000000419e+00
1.420899999999999963e+01,2.369999999999999929e+01,4.950000000000000000e+01,5.081999999999999851e+00
1.427399999999999913e+01,2.325000000000000000e+01,5.084899999999999665e+01,3.145999999999999908e+00
1.434600000000000009e+01,2.354899999999999949e+01,5.009899999999999665e+01,4.839999999999999858e+00
1.441099999999999959e+01,2.369999999999999929e+01,4.964999999999999858e+01,2.419999999999999929e+00
1.447600000000000087e+01,2.400000000000000000e+01,4.950000000000000000e+01,4.355999999999999872e+00
1.454100000000000037e+01,2.369999999999999929e+01,5.009899999999999665e+01,4.113999999999999879e+00
1.460599999999999987e+01,2.400000000000000000e+01,5.039999999999999858e+01,4.355999999999999872e+00
1.467800000000000082e+01,2.294999999999999929e+01,5.009899999999999665e+01,4.113999999999999879e+00
1.474300000000000033e+01,2.385000000000000142e+01,5.025000000000000000e+01,4.113999999999999879e+00
1.480799999999999983e+01,2.310000000000000142e+01,4.995000000000000284e+01,4.355999999999999872e+00
1.487299999999999933e+01,2.294999999999999929e+01,5.009899999999999665e+01,4.355999999999999872e+00
1.493800000000000061e+01,2.354899999999999949e+01,4.950000000000000000e+01,3.629999999999999893e+00
1.500900000000000034e+01,2.325000000000000000e+01,4.950000000000000000e+01,4.113999999999999879e+00
1.507399999999999984e+01,2.385000000000000142e+01,4.964999999999999858e+01,3.145999999999999908e+00
1.514000000000000057e+01,2.369999999999999929e+01,4.979999999999999716e+01,3.629999999999999893e+00
1.520400000000000063e+01,2.325000000000000000e+01,4.979999999999999716e+01,4.113999999999999879e+00
1.527399999999999913e+01,2.385000000000000142e+01,4.995000000000000284e+01,3.871999999999999886e+00
1.534099999999999930e+01,2.310000000000000142e+01,5.009899999999999665e+01,3.871999999999999886e+00
1.540600000000000058e+01,2.294999999999999929e+01,5.054999999999999716e+01,4.355999999999999872e+00
1.547199999999999953e+01,2.325000000000000000e+01,5.009899999999999665e+01,2.661999999999999922e+00
1.553599999999999959e+01,2.339999999999999858e+01,4.964999999999999858e+01,3.145999999999999908e+00
1.560599999999999987e+01,2.294999999999999929e+01,5.009899999999999665e+01,3.629999999999999893e+00
1.567300000000000004e+01,2.339999999999999858e+01,4.950000000000000000e+01,3.871999999999999886e+00
1.573799999999999955e+01,2.385000000000000142e+01,4.979999999999999716e+01,4.355999999999999872e+00
1.580400000000000027e+01,2.354899999999999949e+01,5.025000000000000000e+01,3.387999999999999901e+00
1.586800000000000033e+01,2.310000000000000142e+01,5.070000000000000284e+01,4.597000000000000419e+00
1.593800000000000061e+01,2.354899999999999949e+01,4.964999999999999858e+01,3.629999999999999893e+00
1.600300000000000011e+01,2.264999999999999858e+01,5.009899999999999665e+01,3.871999999999999886e+00
1.606899999999999906e+01,2.279899999999999949e+01,5.039999999999999858e+01,4.113999999999999879e+00
