Bx_uT,By_uT,Bz_uT
5.937000000000000455e+02,-1.387799999999999955e+03,-5.023920000000000073e+03
5.935499999999999545e+02,-1.387199000000000069e+03,-5.021984000000000378e+03
5.927999999999999545e+02,-1.387199000000000069e+03,-5.020773000000000138e+03
5.929500000000000455e+02,-1.387500000000000000e+03,-5.025130000000000109e+03
5.930990000000000464e+02,-1.387199000000000069e+03,-5.023194000000000415e+03
5.930990000000000464e+02,-1.387049999999999955e+03,-5.021984000000000378e+03
5.937000000000000455e+02,-1.387349999999999909e+03,-5.023436999999999898e+03
5.932500000000000000e+02,-1.387500000000000000e+03,-5.025130000000000109e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.023194000000000415e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.024162000000000262e+03
5.937000000000000455e+02,-1.387199000000000069e+03,-5.022711000000000240e+03
5.932500000000000000e+02,-1.387199000000000069e+03,-5.024648000000000138e+03
5.933999999999999773e+02,-1.387199000000000069e+03,-5.022711000000000240e+03
5.938490000000000464e+02,-1.387799999999999955e+03,-5.020046999999999571e+03
5.937000000000000455e+02,-1.387349999999999909e+03,-5.022225999999999658e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.021015000000000327e+03
5.930990000000000464e+02,-1.387500000000000000e+03,-5.023679000000000087e+03
5.930990000000000464e+02,-1.387799999999999955e+03,-5.020529999999999745e+03
5.938490000000000464e+02,-1.386599999999999909e+03,-5.021501000000000204e+03
5.937000000000000455e+02,-1.387049999999999955e+03,-5.022711000000000240e+03
5.935499999999999545e+02,-1.388099999999999909e+03,-5.020287999999999556e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.022952000000000226e+03
5.929500000000000455e+02,-1.387049999999999955e+03,-5.023194000000000415e+03
5.937000000000000455e+02,-1.386900000000000091e+03,-5.023194000000000415e+03
5.938490000000000464e+02,-1.387500000000000000e+03,-5.021257999999999811e+03
5.929500000000000455e+02,-1.387949000000000069e+03,-5.020773000000000138e+03
5.932500000000000000e+02,-1.387349999999999909e+03,-5.022952000000000226e+03
5.932500000000000000e+02,-1.386900000000000091e+03,-5.024886999999999716e+03
5.937000000000000455e+02,-1.387349999999999909e+03,-5.022711000000000240e+03
5.930990000000000464e+02,-1.388099999999999909e+03,-5.021743000000000393e+03
5.940000000000000000e+02,-1.387799999999999955e+03,-5.021015000000000327e+03
5.929500000000000455e+02,-1.387049999999999955e+03,-5.021501000000000204e+03
5.929500000000000455e+02,-1.386449000000000069e+03,-5.023436999999999898e+03
5.932500000000000000e+02,-1.386750000000000000e+03,-5.023679000000000087e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.021984000000000378e+03
5.929500000000000455e+02,-1.387049999999999955e+03,-5.021501000000000204e+03
5.933999999999999773e+02,-1.387199000000000069e+03,-5.022711000000000240e+03
5.932500000000000000e+02,-1.387199000000000069e+03,-5.021984000000000378e+03
5.932500000000000000e+02,-1.387349999999999909e+03,-5.022952000000000226e+03
5.935499999999999545e+02,-1.387500000000000000e+03,-5.023436999999999898e+03
5.938490000000000464e+02,-1.386750000000000000e+03,-5.023194000000000415e+03
5.937000000000000455e+02,-1.387199000000000069e+03,-5.021015000000000327e+03
5.932500000000000000e+02,-1.387049999999999955e+03,-5.022952000000000226e+03
5.938490000000000464e+02,-1.386750000000000000e+03,-5.024886999999999716e+03
5.932500000000000000e+02,-1.387650000000000091e+03,-5.022952000000000226e+03
5.938490000000000464e+02,-1.387500000000000000e+03,-5.021743000000000393e+03
5.933999999999999773e+02,-1.386900000000000091e+03,-5.020046999999999571e+03
5.927999999999999545e+02,-1.387199000000000069e+03,-5.020773000000000138e+03
5.933999999999999773e+02,-1.387049999999999955e+03,-5.019322000000000116e+03
5.938490000000000464e+02,-1.386150000000000091e+03,-5.023679000000000087e+03
5.938490000000000464e+02,-1.386750000000000000e+03,-5.023194000000000415e+03
5.933999999999999773e+02,-1.387049999999999955e+03,-5.023436999999999898e+03
5.940000000000000000e+02,-1.387650000000000091e+03,-5.024162000000000262e+03
5.944500000000000455e+02,-1.387949000000000069e+03,-5.021257999999999811e+03
5.932500000000000000e+02,-1.387349999999999909e+03,-5.022469000000000051e+03
5.937000000000000455e+02,-1.387349999999999909e+03,-5.022711000000000240e+03
5.932500000000000000e+02,-1.387199000000000069e+03,-5.023436999999999898e+03
5.932500000000000000e+02,-1.387049999999999955e+03,-5.022225999999999658e+03
5.929500000000000455e+02,-1.387799999999999955e+03,-5.024886999999999716e+03
5.937000000000000455e+02,-1.387049999999999955e+03,-5.022711000000000240e+03
5.937000000000000455e+02,-1.387500000000000000e+03,-5.021984000000000378e+03
5.930990000000000464e+02,-1.386299999999999955e+03,-5.021015000000000327e+03
5.938490000000000464e+02,-1.387349999999999909e+03,-5.020529999999999745e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.022711000000000240e+03
5.938490000000000464e+02,-1.387500000000000000e+03,-5.023920000000000073e+03
5.937000000000000455e+02,-1.387650000000000091e+03,-5.024162000000000262e+03
5.938490000000000464e+02,-1.386599999999999909e+03,-5.025614999999999782e+03
5.930990000000000464e+02,-1.387349999999999909e+03,-5.020773000000000138e+03
5.932500000000000000e+02,-1.387949000000000069e+03,-5.021257999999999811e+03
5.926499999999999773e+02,-1.387650000000000091e+03,-5.021257999999999811e+03
5.932500000000000000e+02,-1.386750000000000000e+03,-5.019079999999999927e+03
5.930990000000000464e+02,-1.388099999999999909e+03,-5.023194000000000415e+03
5.938490000000000464e+02,-1.387650000000000091e+03,-5.024407000000000153e+03
5.929500000000000455e+02,-1.387949000000000069e+03,-5.022225999999999658e+03
5.933999999999999773e+02,-1.387650000000000091e+03,-5.020529999999999745e+03
5.937000000000000455e+02,-1.387799999999999955e+03,-5.023679000000000087e+03
5.930990000000000464e+02,-1.387049999999999955e+03,-5.024886999999999716e+03
5.941499999999999773e+02,-1.388099999999999909e+03,-5.021501000000000204e+03
5.937000000000000455e+02,-1.387049999999999955e+03,-5.020046999999999571e+03
5.932500000000000000e+02,-1.387500000000000000e+03,-5.022469000000000051e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.020287999999999556e+03
5.929500000000000455e+02,-1.388099999999999909e+03,-5.021984000000000378e+03
5.930990000000000464e+02,-1.388099999999999909e+03,-5.024162000000000262e+03
5.935499999999999545e+02,-1.388099999999999909e+03,-5.023194000000000415e+03
5.942999999999999545e+02,-1.386299999999999955e+03,-5.021501000000000204e+03
5.930990000000000464e+02,-1.387049999999999955e+03,-5.022711000000000240e+03
5.937000000000000455e+02,-1.386900000000000091e+03,-5.022469000000000051e+03
5.940000000000000000e+02,-1.387349999999999909e+03,-5.021501000000000204e+03
5.933999999999999773e+02,-1.386299999999999955e+03,-5.020529999999999745e+03
5.938490000000000464e+02,-1.387799999999999955e+03,-5.020529999999999745e+03
5.935499999999999545e+02,-1.388099999999999909e+03,-5.019805000000000291e+03
5.933999999999999773e+02,-1.388099999999999909e+03,-5.020287999999999556e+03
5.935499999999999545e+02,-1.387349999999999909e+03,-5.022225999999999658e+03
5.933999999999999773e+02,-1.387949000000000069e+03,-5.021257999999999811e+03
5.940000000000000000e+02,-1.387349999999999909e+03,-5.022711000000000240e+03
5.941499999999999773e+02,-1.387199000000000069e+03,-5.022469000000000051e+03
5.933999999999999773e+02,-1.388099999999999909e+03,-5.023679000000000087e+03
5.930990000000000464e+02,-1.387799999999999955e+03,-5.020773000000000138e+03
5.942999999999999545e+02,-1.387500000000000000e+03,-5.021501000000000204e+03
5.932500000000000000e+02,-1.386750000000000000e+03,-5.022711000000000240e+03
5.941499999999999773e+02,-1.387949000000000069e+03,-5.023194000000000415e+03
5.930990000000000464e+02,-1.387799999999999955e+03,-5.018596999999999753e+03
5.940000000000000000e+02,-1.387949000000000069e+03,-5.020287999999999556e+03
5.937000000000000455e+02,-1.386599999999999909e+03,-5.024162000000000262e+03
5.938490000000000464e+02,-1.386750000000000000e+03,-5.021984000000000378e+03
5.938490000000000464e+02,-1.387650000000000091e+03,-5.023920000000000073e+03
5.937000000000000455e+02,-1.387199000000000069e+03,-5.023194000000000415e+03
5.940000000000000000e+02,-1.386900000000000091e+03,-5.023194000000000415e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.022711000000000240e+03
5.926499999999999773e+02,-1.387500000000000000e+03,-5.020046999999999571e+03
5.937000000000000455e+02,-1.387199000000000069e+03,-5.020529999999999745e+03
5.927999999999999545e+02,-1.387349999999999909e+03,-5.024162000000000262e+03
5.933999999999999773e+02,-1.386750000000000000e+03,-5.022225999999999658e+03
5.938490000000000464e+02,-1.387049999999999955e+03,-5.021984000000000378e+03
5.933999999999999773e+02,-1.387500000000000000e+03,-5.021984000000000378e+03
5.927999999999999545e+02,-1.386900000000000091e+03,-5.021984000000000378e+03
5.927999999999999545e+02,-1.387650000000000091e+03,-5.023920000000000073e+03
5.933999999999999773e+02,-1.388099999999999909e+03,-5.023679000000000087e+03
5.941499999999999773e+02,-1.387049999999999955e+03,-5.020287999999999556e+03
5.938490000000000464e+02,-1.386750000000000000e+03,-5.023920000000000073e+03
5.941499999999999773e+02,-1.387500000000000000e+03,-5.018838999999999942e+03
5.938490000000000464e+02,-1.386900000000000091e+03,-5.022469000000000051e+03
5.933999999999999773e+02,-1.386750000000000000e+03,-5.022469000000000051e+03
5.930990000000000464e+02,-1.386750000000000000e+03,-5.022469000000000051e+03
5.932500000000000000e+02,-1.386750000000000000e+03,-5.025372999999999593e+03
5.929500000000000455e+02,-1.387799999999999955e+03,-5.022711000000000240e+03
5.929500000000000455e+02,-1.387049999999999955e+03,-5.022711000000000240e+03
5.932500000000000000e+02,-1.387949000000000069e+03,-5.019564999999999600e+03
5.933999999999999773e+02,-1.386299999999999955e+03,-5.024407000000000153e+03
5.935499999999999545e+02,-1.387199000000000069e+03,-5.023436999999999898e+03
5.933999999999999773e+02,-1.386900000000000091e+03,-5.021257999999999811e+03
