q_mm,direction,n_samples,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT
15,down,695,1206.4682,1596.1332,395.1329,2124.1287,5432.1719,1404.5482
10,down,849,442.2148,166.8185,-1142.6109,246.8483,-504.0953,5223.6414
7,down,515,1029.1198,226.6151,-1610.4493,126.5436,1263.3376,3301.4387
5,down,618,1748.6289,374.2684,-1530.6105,92.2736,5301.7479,1426.0455
3,down,604,3430.2937,819.9388,331.4984,1024.9002,6231.4103,22.5706
2,down,609,-1477.1807,3696.1464,-2973.8590,2729.0023,6264.4984,14.1996
1,down,567,-1100.7141,1236.9718,2227.7305,3003.9784,6297.9950,11.1705
0.5,down,690,1083.1297,1275.2838,3751.9887,184.3273,6306.4882,10.1634
0.5,up,411,2068.2148,3.0794,3890.4943,4.2057,6306.3229,7.1071
1,up,448,-210.7612,840.0674,3610.8926,103.5362,6297.7045,7.3512
2,up,546,-3290.7915,1363.7633,-3111.1710,3290.2553,6274.1755,11.6682
3,up,436,3480.3676,1813.0737,676.2160,1261.7207,6254.6794,8.0191
5,up,512,2225.2650,623.8857,-1189.8376,785.0737,6207.9731,19.0486
7,up,452,1197.5560,184.5696,-1690.5798,46.7344,3290.7110,707.0412
10,up,643,804.5797,269.6445,-1506.4652,151.7246,-1954.3393,3924.3336
15,up,742,367.6589,154.4714,-1035.2456,241.5597,2005.9884,4889.2111
