q_mm,direction,n_tail,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT
15,down,348,254.0674,0.3998,-863.1864,0.4468,5313.0705,0.9984
10,down,425,592.0088,0.4306,-1363.6741,0.4714,-5131.4416,1.4175
7,down,258,1148.7242,0.4246,-1676.6202,0.5117,2999.0045,5.7196
5,down,309,1984.0556,0.4254,-1472.2576,0.4324,6187.8721,6.5017
3,down,302,3899.4256,0.6803,918.6286,0.6792,6243.3757,7.2213
2,down,305,-4009.0237,0.6908,-4854.2007,1.0866,6273.0202,7.3562
1,down,284,-570.1319,1.2834,3511.0921,6.5001,6301.4475,6.7623
0.5,down,345,2067.9233,2.9305,3893.8720,3.9898,6312.3141,6.8865
0.5,up,206,2068.4168,3.0114,3890.6656,4.3100,6306.4273,7.8343
1,up,224,-522.4458,1.0743,3571.2789,6.5257,6295.3719,6.8237
2,up,273,-3966.6855,0.7884,-4740.0952,0.8809,6269.1945,7.3080
3,up,218,3915.8028,0.5687,951.5076,0.4971,6255.3503,7.2625
5,up,256,1990.3422,0.4548,-1483.1430,0.4253,6201.2690,7.0336
7,up,226,1152.3217,0.4441,-1701.2049,0.5017,3112.7484,5.3357
10,up,322,593.4818,0.4122,-1387.2087,0.4614,-5023.4808,1.5685
15,up,371,260.2538,0.4375,-866.6767,0.4251,5346.7224,0.9481
