Bx_uT,By_uT,Bz_uT
2.977500000000000000e+02,3.292500000000000000e+02,7.019453000000000429e+03
2.978999999999999773e+02,3.302989999999999782e+02,7.021149000000000342e+03
2.976000000000000227e+02,3.295489999999999782e+02,7.022356999999999971e+03
2.978999999999999773e+02,3.301499999999999773e+02,7.021149000000000342e+03
2.971499999999999773e+02,3.296999999999999886e+02,7.023324999999999818e+03
2.965489999999999782e+02,3.301499999999999773e+02,7.019935999999999694e+03
2.978999999999999773e+02,3.295489999999999782e+02,7.019935999999999694e+03
2.972989999999999782e+02,3.292500000000000000e+02,7.022356999999999971e+03
2.974499999999999886e+02,3.293999999999999773e+02,7.021631000000000313e+03
2.971499999999999773e+02,3.302989999999999782e+02,7.020421000000000276e+03
2.976000000000000227e+02,3.302989999999999782e+02,7.020177999999999884e+03
2.972989999999999782e+02,3.286499999999999773e+02,7.023324999999999818e+03
2.965489999999999782e+02,3.293999999999999773e+02,7.020662999999999556e+03
2.985000000000000000e+02,3.302989999999999782e+02,7.022840000000000146e+03
2.970000000000000000e+02,3.300000000000000000e+02,7.019694999999999709e+03
2.978999999999999773e+02,3.296999999999999886e+02,7.020905999999999949e+03
2.972989999999999782e+02,3.296999999999999886e+02,7.021149000000000342e+03
2.968500000000000227e+02,3.287989999999999782e+02,7.019935999999999694e+03
2.977500000000000000e+02,3.295489999999999782e+02,7.019694999999999709e+03
2.977500000000000000e+02,3.298500000000000227e+02,7.021149000000000342e+03
2.980489999999999782e+02,3.300000000000000000e+02,7.021386000000000422e+03
2.971499999999999773e+02,3.298500000000000227e+02,7.021872000000000298e+03
2.987989999999999782e+02,3.291000000000000227e+02,7.021872000000000298e+03
2.970000000000000000e+02,3.293999999999999773e+02,7.019694999999999709e+03
2.978999999999999773e+02,3.295489999999999782e+02,7.021149000000000342e+03
2.974499999999999886e+02,3.298500000000000227e+02,7.022356999999999971e+03
2.972989999999999782e+02,3.298500000000000227e+02,7.021149000000000342e+03
2.970000000000000000e+02,3.296999999999999886e+02,7.021149000000000342e+03
2.970000000000000000e+02,3.306000000000000227e+02,7.021149000000000342e+03
2.972989999999999782e+02,3.298500000000000227e+02,7.021149000000000342e+03
2.971499999999999773e+02,3.293999999999999773e+02,7.019935999999999694e+03
2.980489999999999782e+02,3.292500000000000000e+02,7.022356999999999971e+03
2.971499999999999773e+02,3.301499999999999773e+02,7.022356999999999971e+03
2.981999999999999886e+02,3.298500000000000227e+02,7.022356999999999971e+03
2.971499999999999773e+02,3.301499999999999773e+02,7.021872000000000298e+03
2.977500000000000000e+02,3.292500000000000000e+02,7.021872000000000298e+03
2.983500000000000227e+02,3.300000000000000000e+02,7.024047999999999774e+03
2.977500000000000000e+02,3.292500000000000000e+02,7.019453000000000429e+03
2.974499999999999886e+02,3.293999999999999773e+02,7.020421000000000276e+03
2.978999999999999773e+02,3.300000000000000000e+02,7.020662999999999556e+03
2.980489999999999782e+02,3.293999999999999773e+02,7.021631000000000313e+03
2.974499999999999886e+02,3.291000000000000227e+02,7.020662999999999556e+03
2.971499999999999773e+02,3.292500000000000000e+02,7.022599000000000160e+03
2.974499999999999886e+02,3.304499999999999886e+02,7.023082000000000335e+03
2.968500000000000227e+02,3.296999999999999886e+02,7.021872000000000298e+03
2.974499999999999886e+02,3.292500000000000000e+02,7.021631000000000313e+03
2.970000000000000000e+02,3.300000000000000000e+02,7.022840000000000146e+03
2.974499999999999886e+02,3.293999999999999773e+02,7.021872000000000298e+03
2.968500000000000227e+02,3.293999999999999773e+02,7.022356999999999971e+03
2.971499999999999773e+02,3.298500000000000227e+02,7.023082000000000335e+03
2.972989999999999782e+02,3.293999999999999773e+02,7.021149000000000342e+03
2.968500000000000227e+02,3.296999999999999886e+02,7.021872000000000298e+03
2.974499999999999886e+02,3.296999999999999886e+02,7.020177999999999884e+03
2.971499999999999773e+02,3.295489999999999782e+02,7.020177999999999884e+03
2.972989999999999782e+02,3.300000000000000000e+02,7.020662999999999556e+03
2.972989999999999782e+02,3.306000000000000227e+02,7.020905999999999949e+03
2.980489999999999782e+02,3.301499999999999773e+02,7.022840000000000146e+03
2.974499999999999886e+02,3.291000000000000227e+02,7.021149000000000342e+03
2.971499999999999773e+02,3.300000000000000000e+02,7.021631000000000313e+03
2.968500000000000227e+02,3.298500000000000227e+02,7.022356999999999971e+03
2.978999999999999773e+02,3.301499999999999773e+02,7.022599000000000160e+03
2.972989999999999782e+02,3.293999999999999773e+02,7.022599000000000160e+03
2.972989999999999782e+02,3.293999999999999773e+02,7.021386000000000422e+03
2.980489999999999782e+02,3.285000000000000000e+02,7.020662999999999556e+03
2.968500000000000227e+02,3.293999999999999773e+02,7.022356999999999971e+03
2.976000000000000227e+02,3.293999999999999773e+02,7.019453000000000429e+03
2.978999999999999773e+02,3.301499999999999773e+02,7.022356999999999971e+03
2.977500000000000000e+02,3.306000000000000227e+02,7.020177999999999884e+03
2.976000000000000227e+02,3.291000000000000227e+02,7.020177999999999884e+03
2.971499999999999773e+02,3.302989999999999782e+02,7.021872000000000298e+03
2.971499999999999773e+02,3.296999999999999886e+02,7.020662999999999556e+03
2.976000000000000227e+02,3.292500000000000000e+02,7.020177999999999884e+03
2.974499999999999886e+02,3.298500000000000227e+02,7.019453000000000429e+03
2.977500000000000000e+02,3.293999999999999773e+02,7.020177999999999884e+03
2.970000000000000000e+02,3.295489999999999782e+02,7.021149000000000342e+03
2.970000000000000000e+02,3.298500000000000227e+02,7.019935999999999694e+03
2.978999999999999773e+02,3.293999999999999773e+02,7.020905999999999949e+03
2.970000000000000000e+02,3.293999999999999773e+02,7.024047999999999774e+03
2.974499999999999886e+02,3.298500000000000227e+02,7.019935999999999694e+03
2.970000000000000000e+02,3.298500000000000227e+02,7.023082000000000335e+03
2.971499999999999773e+02,3.302989999999999782e+02,7.019694999999999709e+03
2.978999999999999773e+02,3.293999999999999773e+02,7.023567000000000007e+03
2.976000000000000227e+02,3.293999999999999773e+02,7.021386000000000422e+03
