Bx_uT,By_uT,Bz_uT
2.302949999999999818e+03,3.897300000000000182e+03,6.231743000000000393e+03
2.302050000000000182e+03,3.897148999999999887e+03,6.230773000000000138e+03
2.303250000000000000e+03,3.897599999999999909e+03,6.230046999999999571e+03
2.302050000000000182e+03,3.895800000000000182e+03,6.231501000000000204e+03
2.302648999999999887e+03,3.896099999999999909e+03,6.243841999999999643e+03
2.301898999999999887e+03,3.896250000000000000e+03,6.246746000000000095e+03
2.301750000000000000e+03,3.896550000000000182e+03,6.242873999999999796e+03
2.302800000000000182e+03,3.897148999999999887e+03,6.231257999999999811e+03
2.302199999999999818e+03,3.896699999999999818e+03,6.252070999999999913e+03
2.302050000000000182e+03,3.896849999999999909e+03,6.253279999999999745e+03
2.301750000000000000e+03,3.896398999999999887e+03,6.255216000000000349e+03
2.302199999999999818e+03,3.895648999999999887e+03,6.229805000000000291e+03
2.302500000000000000e+03,3.896398999999999887e+03,6.233436999999999898e+03
2.302050000000000182e+03,3.896250000000000000e+03,6.243841999999999643e+03
2.301898999999999887e+03,3.896398999999999887e+03,6.235855999999999767e+03
2.301898999999999887e+03,3.896250000000000000e+03,6.233679000000000087e+03
2.301898999999999887e+03,3.896699999999999818e+03,6.235372999999999593e+03
2.302199999999999818e+03,3.896250000000000000e+03,6.231015000000000327e+03
2.302050000000000182e+03,3.894599999999999909e+03,6.236097999999999956e+03
2.302050000000000182e+03,3.896099999999999909e+03,6.241905999999999949e+03
2.302349999999999909e+03,3.896398999999999887e+03,6.246746000000000095e+03
2.301898999999999887e+03,3.896099999999999909e+03,6.242873999999999796e+03
2.301898999999999887e+03,3.896550000000000182e+03,6.236823999999999614e+03
2.302349999999999909e+03,3.897300000000000182e+03,6.234162000000000262e+03
2.302349999999999909e+03,3.896398999999999887e+03,6.233679000000000087e+03
2.302800000000000182e+03,3.896849999999999909e+03,6.246020999999999731e+03
2.302349999999999909e+03,3.894898999999999887e+03,6.235855999999999767e+03
2.302050000000000182e+03,3.895800000000000182e+03,6.248925000000000182e+03
2.302800000000000182e+03,3.895800000000000182e+03,6.231257999999999811e+03
2.302500000000000000e+03,3.895349999999999909e+03,6.249893000000000029e+03
2.301148999999999887e+03,3.896099999999999909e+03,6.244569999999999709e+03
2.301599999999999909e+03,3.896250000000000000e+03,6.246262999999999920e+03
2.301599999999999909e+03,3.895500000000000000e+03,6.235130000000000109e+03
2.302050000000000182e+03,3.895500000000000000e+03,6.239487000000000080e+03
2.301599999999999909e+03,3.896398999999999887e+03,6.247470999999999549e+03
2.301599999999999909e+03,3.896099999999999909e+03,6.239487000000000080e+03
2.301449999999999818e+03,3.895800000000000182e+03,6.238277000000000044e+03
2.302199999999999818e+03,3.896699999999999818e+03,6.244813000000000102e+03
