q_mm,direction,n_tail,mean_Bx_uT,sigma_Bx_uT,mean_By_uT,sigma_By_uT,mean_Bz_uT,sigma_Bz_uT
40.0,down,150,84.7729,0.4170,-19.7028,0.3933,395.2439,0.5309
30.0,down,150,92.2768,0.4046,-1.6967,0.4414,749.0349,0.5911
22.0,down,150,109.1248,0.3965,37.6658,0.4149,1449.8991,0.5989
17.0,down,150,135.0968,0.4462,100.0819,0.4388,2456.9358,0.7006
13.0,down,150,184.3538,0.4302,213.0878,0.4161,4162.8445,0.8952
10.0,down,150,276.1138,0.3885,404.4368,0.4601,6833.2037,1.1487
8.0,down,150,401.5498,0.4182,659.0108,0.4552,-5621.3261,1.4198
6.0,down,150,670.6588,0.4233,1184.3118,0.4373,916.0198,2.3178
5.0,down,150,917.7488,0.3941,1665.4118,0.4562,5014.9950,10.9257
4.0,down,150,1442.3658,0.5281,2464.0558,0.5468,6201.3583,6.7157
3.0,down,150,2300.8418,0.5901,3896.5488,0.5874,6247.1350,6.9146
2.5,down,150,3122.1178,0.6038,-4759.8032,0.8067,6249.8711,7.0801
2.0,down,150,4451.7899,1.1025,-3049.2448,1.0507,6260.0883,6.8551
1.6,down,150,-3523.6988,1.1451,-1275.3648,1.2859,6270.8091,7.0837
1.3,down,150,-617.4068,1.3636,314.3488,1.3507,6288.7234,6.7857
1.0,down,150,2155.8488,3.1949,2291.6788,5.8344,6299.9169,6.6000
0.7,down,150,3746.5948,3.9457,3657.5828,6.4317,6305.0586,6.9905
0.5,down,150,3867.1888,3.9557,3853.1408,4.0398,6307.7059,7.5980
0.5,up,150,3867.9488,3.7772,3854.2158,3.9884,6309.1969,6.8376
0.7,up,150,3763.7048,4.1796,3685.7068,6.1635,6305.1343,7.2029
1.0,up,150,2515.8248,4.1922,2359.6009,6.2399,6295.2008,6.1444
1.3,up,150,1469.3767,5.9732,189.6318,4.5375,6285.7357,7.1387
1.6,up,150,-412.7168,1.0588,-1595.8758,1.0338,6270.0587,6.3284
2.0,up,150,-2505.8788,1.2419,-3322.1628,1.1463,6264.2668,7.7181
2.5,up,150,3023.9228,25.5632,3458.7718,27.5857,6251.3264,6.5240
3.0,up,150,2210.9038,0.7737,2654.7978,0.5529,6243.0837,6.9564
4.0,up,150,1434.3578,0.4385,1761.5258,0.4593,6206.7207,6.7169
5.0,up,150,924.3388,0.4748,1236.7028,0.4705,5360.5727,9.2882
6.0,up,150,697.2248,0.6883,904.9168,0.5460,1404.8340,2.2613
8.0,up,150,427.5368,0.3906,524.7308,0.4128,-5336.0231,1.3716
10.0,up,150,297.3188,0.4225,329.6718,0.3980,7021.0161,1.0296
13.0,up,150,200.0138,0.4074,176.6498,0.4378,4263.8828,0.7859
17.0,up,150,147.8518,0.4373,84.1017,0.4021,2515.3637,0.6459
22.0,up,150,120.1218,0.3793,31.3838,0.4421,1484.5099,0.6306
30.0,up,150,102.4488,0.4114,-1.3257,0.4024,826.0120,0.5558
40.0,up,150,93.3208,0.3776,-19.3668,0.3830,429.4997,0.5701
